name,serie,location,court,surface,totalrounds,bestof
Internazionali di Lombardia,International,Milan,Indoor,Carpet,5,3.0
SAP Open,ATP250,San Jose,Indoor,Hard,5,3.0
ATP Buenos Aires 2005,International,Buenos Aires,Outdoor,Clay,5,3.0
Regions Morgan Keegan Championships,ATP500,Memphis,Indoor,Hard,5,3.0
Dubai Duty Free Men's Open,International Gold,Dubai ,Outdoor,Hard,5,3.0
Channel Open,International,Las Vegas,Outdoor,Hard,5,3.0
Open de Tenis Comunidad Valenciana,International,Valencia,Outdoor,Clay,5,3.0
Rogers Cup,Masters,Montreal,Outdoor,Hard,6,3.0
Pilot Pen Tennis,ATP250,New Haven,Outdoor,Hard,6,3.0
Vietnam Open,International,Ho Chi Min City,Indoor,Hard,5,3.0
BA-CA Tennis Trophy,ATP250,Vienna,Indoor,Hard,5,3.0
Davidoff Swiss Indoors,ATP500,Basel,Indoor,Hard,5,3.0
Chennai Open,ATP250,Chennai,Outdoor,Hard,5,3.0
Next Generation Adelaide International,International,Adelaide,Outdoor,Hard,5,3.0
Sydney International,ATP250,Sydney,Outdoor,Hard,5,3.0
Movistar Open,ATP250,Santiago,Outdoor,Clay,5,3.0
PBZ Zagreb Indoors,ATP250,Zagreb,Indoor,Hard,5,3.0
Copa Telmex,ATP250,Buenos Aires,Outdoor,Clay,5,3.0
Dubai Tennis Championships,ATP500,Dubai ,Outdoor,Hard,5,3.0
Campionati Internazional d'Italia,Masters,Rome,Outdoor,Clay,6,3.0
Hypo Group Tennis International,International,Portschach,Outdoor,Clay,5,3.0
Red Letter Days Open,International,Nottingham,Outdoor,Grass,5,3.0
Synsam Swedish Open,International,Bastad,Outdoor,Clay,5,3.0
Countrywide Classic,International,Los Angeles,Outdoor,Hard,5,3.0
Rogers Masters,Masters 1000,Montreal,Outdoor,Hard,6,3.0
Kingfisher Airlines Tennis Open,International,Mumbai,Indoor,Hard,5,3.0
Sony Ericsson Open,Masters 1000,Miami,Outdoor,Hard,7,3.0
Internazionali BNL d'Italia,Masters 1000,Rome,Outdoor,Clay,7,3.0
The Nottingham Open,International,Nottingham,Outdoor,Grass,5,3.0
Catella Swedish Open,ATP250,Bastad,Outdoor,Clay,5,3.0
Austrian Open,ATP250,Kitzbuhel,Outdoor,Clay,5,3.0
Indianapolis Tennis Championships,ATP250,Indianapolis,Outdoor,Hard,5,3.0
AIG Japan Open Tennis Championships,International Gold,Tokyo,Outdoor,Hard,6,3.0
Open Sabadell Atlántico 2008,International Gold,Barcelona,Outdoor,Clay,6,3.0
Orange Prokom Open,International,Warsaw,Outdoor,Clay,5,3.0
Slazenger Open,International,Nottingham,Outdoor,Grass,5,3.0
Studena Croatia Open,ATP250,Umag,Outdoor,Clay,5,3.0
Brisbane International,ATP250,Brisbane,Outdoor,Hard,5,3.0
SA Tennis Open,ATP250,Johannesburg ,Outdoor,Hard,5,3.0
BNP Paribas Open,Masters 1000,Indian Wells,Outdoor,Hard,7,3.0
Open Banco Sabadell,ATP500,Barcelona,Outdoor,Clay,6,3.0
Serbia Open,ATP250,Belgrade,Outdoor,Clay,5,3.0
Mutua Madrileña Madrid Open,Masters 1000,Madrid,Outdoor,Clay,6,3.0
AEGON Championships,ATP500,Queens Club,Outdoor,Grass,5,3.0
AEGON International,ATP250,Eastbourne,Outdoor,Grass,5,3.0
International German Open,ATP500,Hamburg,Outdoor,Clay,6,3.0
LA Tennis Open,ATP250,Los Angeles,Outdoor,Hard,5,3.0
Proton Malaysian Open,ATP250,Kuala Lumpur,Indoor,Hard,5,3.0
Rakuten Japan Open Tennis Championships,ATP500,Tokyo,Outdoor,Hard,5,3.0
Shanghai Masters,Masters 1000,Shanghai,Outdoor,Hard,6,3.0
Valencia Open 500,ATP500,Valencia,Indoor,Hard,5,3.0
BNP Paribas Masters,Masters 1000,Paris,Indoor,Hard,6,3.0
Open de Nice Côte d’Azur,ATP250,Nice,Outdoor,Clay,5,3.0
Unicef Open,ATP250,'s-Hertogenbosch,Outdoor,Grass,5,3.0
SkiStar Swedish Open,ATP250,Bastad,Outdoor,Clay,5,3.0
German Open Tennis Championships,ATP500,Hamburg,Outdoor,Clay,6,3.0
Atlanta Tennis Championships,ATP250,Atlanta,Outdoor,Hard,5,3.0
Farmers Classic,ATP250,Los Angeles,Outdoor,Hard,5,3.0
Open Sud de France,ATP250,Montpellier,Indoor,Hard,5,3.0
Copa Claro,ATP250,Buenos Aires,Outdoor,Clay,5,3.0
Bet-At-Home Cup,ATP250,Kitzbuhel,Outdoor,Clay,5,3.0
Winston-Salem Open at Wake Forest University,ATP250,Winston-Salem,Outdoor,Hard,6,3.0
Malaysian Open,ATP250,Kuala Lumpur,Indoor,Hard,5,3.0
Erste Bank Open,ATP500,Vienna,Indoor,Hard,5,3.0
Apia International,ATP250,Sydney,Outdoor,Hard,5,3.0
VTR Open,ATP250,Vina del Mar,Outdoor,Clay,5,3.0
BRD Nastase Tiriac Trophy,ATP250,Bucharest,Outdoor,Clay,5,3.0
Mutua Madrid Open,Masters 1000,Madrid,Outdoor,Clay,7,3.0
ATP Vegeta Croatia Open,ATP250,Umag,Outdoor,Clay,5,3.0
Crédit Agricole Suisse Open Gstaad,ATP250,Gstaad,Outdoor,Clay,5,3.0
BB&T Atlanta Open,ATP250,Atlanta,Outdoor,Hard,5,3.0
Citi Open,ATP500,Washington,Outdoor,Hard,6,3.0
U.S. National Indoor Tennis Championships,ATP250,Memphis,Indoor,Hard,5,3.0
Portugal Open,ATP250,Oeiras,Outdoor,Clay,5,3.0
Power Horse Cup,ATP250,Dusseldorf,Outdoor,Clay,5,3.0
Topshelf Open,ATP250,'s-Hertogenbosch,Outdoor,Grass,5,3.0
Claro Open Colombia,ATP250,Bogota,Outdoor,Clay,5,3.0
Royal Guard Open Chile,ATP250,Vina del Mar,Outdoor,Clay,5,3.0
Rio Open,ATP500,Rio de Janeiro,Outdoor,Clay,5,3.0
Delray Beach Open,ATP250,Delray Beach,Outdoor,Hard,5,3.0
Dusseldorf Open,ATP250,Dusseldorf,Outdoor,Clay,5,3.0
bet-at-home Open,ATP500,Hamburg,Outdoor,Clay,5,3.0
Shenzhen Open,ATP250,Shenzhen ,Outdoor,Hard,5,3.0
Ecuador Open,ATP250,Quito,Outdoor,Clay,5,3.0
Memphis Open,ATP250,Memphis,Indoor,Hard,5,3.0
Argentina Open,ATP250,Buenos Aires,Outdoor,Clay,5,3.0
Istanbul Open,ATP250,Istanbul,Outdoor,Clay,5,3.0
Millenium Estoril Open,ATP250,Estoril,Outdoor,Clay,5,3.0
Geneva Open,ATP250,Geneva,Outdoor,Clay,5,3.0
AEGON Open,ATP500,Nottingham,Outdoor,Grass,6,3.0
Konzum Croatia Open,ATP250,Umag,Outdoor,Clay,5,3.0
Suisse Open Gstaad,ATP250,Gstaad,Outdoor,Clay,5,3.0
ASB Classic,ATP250,Auckland,Outdoor,Hard,5,3.0
Garanti Koza Sofia Open,ATP250,Sofia,Indoor,Hard,5,3.0
German Tennis Championships,ATP500,Hamburg,Outdoor,Clay,5,3.0
Abierto Mexicano Mifel,ATP250,Los Cabos,Outdoor,Hard,5,3.0
Chengdu Open,ATP250,Chengdu,Outdoor,Hard,5,3.0
European Open,ATP250,Hamburg,Outdoor,Clay,5,3.0
Gazprom Hungarian Open,ATP250,Budapest,Outdoor,Clay,5,3.0
Open Banco Sabadell ,ATP500,Barcelona,Outdoor,Clay,6,3.0
Lyon Open,ATP250,Lyon,Outdoor,Clay,5,3.0
Ricoh Open,ATP250,'s-Hertogenbosch,Outdoor,Grass,5,3.0
Antalya Open,ATP250,Antalya,Indoor,Hard,5,3.0
Tata Open,ATP250,Pune,Outdoor,Hard,5,3.0
New York Open,ATP250,New York,Indoor,Hard,5,3.0
Millennium Estoril Open,ATP250,Estoril,Outdoor,Clay,5,3.0
Eastbourne International,ATP250,Eastbourne,Outdoor,Grass,5,3.0
Maharashtra Open,ATP250,Pune,Outdoor,Hard,5,3.0
