player1_name,player1_atprank,player1_games,player1_wins,player1_losses,player1_indoor_wins,player1_indoor_losses,player1_outdoor_wins,player1_outdoor_losses,player2_name,player2_atprank,player2_games,player2_wins,player2_losses,player2_indoor_wins,player2_indoor_losses,player2_outdoor_wins,player2_outdoor_losses,tournament_name,tournament_location,tournament_court,tournament_surface,match_date,match_odd_player1,match_odd_player2,winner_player1
Marterer M.,144,91,31,60,2,8,29,52,Koepfer D.,84,86,38,48,3,3,35,45,European Open,Hamburg,Outdoor,Clay,2021-07-13,2.62,1.5,0
Lajovic D.,66,378,163,215,21,36,142,179,Pouille L.,675,259,134,125,35,26,99,99,European Open,Hamburg,Outdoor,Clay,2021-07-13,1.57,2.37,1
Zhang Zh.,53,44,20,24,1,2,19,22,Delbonis F.,131,340,152,188,19,23,133,165,European Open,Hamburg,Outdoor,Clay,2021-07-13,3.5,1.3,0
Bagnis F.,135,121,39,82,9,8,30,74,Carballes Baena R.,64,207,91,116,11,10,80,106,Nordea Open,Bastad,Outdoor,Clay,2021-07-13,1.8,2.0,0
Uchiyama Y.,314,33,9,24,1,3,8,21,Ofner S.,61,34,16,18,1,2,15,16,Hall of Fame Championships,Newport,Outdoor,Grass,2021-07-13,2.75,1.44,0
Jung J.,276,32,10,22,5,4,5,18,Schnur B.,233,19,4,15,4,4,0,11,Hall of Fame Championships,Newport,Outdoor,Grass,2021-07-13,2.0,1.8,1
Ruusuvuori E.,55,158,79,79,16,18,63,61,Ymer M.,59,130,58,72,18,23,40,49,Nordea Open,Bastad,Outdoor,Clay,2021-07-13,2.5,1.53,1
Musetti L.,18,143,79,64,12,12,67,52,Laaksonen H.,125,101,37,64,7,16,30,48,Nordea Open,Bastad,Outdoor,Clay,2021-07-13,1.4,3.0,0
Zapata Miralles B.,54,80,32,48,1,6,31,42,Karlovic I.,221,674,351,323,80,66,271,257,Hall of Fame Championships,Newport,Outdoor,Grass,2021-07-13,1.57,2.37,0
Cerundolo F.,21,104,58,46,3,7,55,39,Coria F.,108,99,43,56,2,6,41,50,Nordea Open,Bastad,Outdoor,Clay,2021-07-13,2.2,1.66,0
Gojowczyk P.,108,172,75,97,17,18,58,79,Krueger M.,228,24,7,17,0,1,7,16,Hall of Fame Championships,Newport,Outdoor,Grass,2021-07-13,1.57,2.37,1
Sock J.,166,324,177,147,38,24,139,123,Bolt A.,345,40,13,27,0,0,13,27,Hall of Fame Championships,Newport,Outdoor,Grass,2021-07-13,2.2,1.66,1
Sandgren T.,153,121,47,74,2,9,45,65,Sousa J.,147,436,189,247,42,44,147,203,Hall of Fame Championships,Newport,Outdoor,Grass,2021-07-13,1.53,2.5,1
Cressy M.,96,96,42,54,10,11,32,43,Lorenzi P.,171,284,104,180,19,26,85,154,Hall of Fame Championships,Newport,Outdoor,Grass,2021-07-13,1.22,4.33,1
Thompson J.,71,221,96,125,10,10,86,115,Sugita Y.,131,129,47,82,6,12,41,70,Hall of Fame Championships,Newport,Outdoor,Grass,2021-07-14,1.28,3.75,1
Brooksby J.,39,79,46,33,6,5,40,28,Kudla D.,137,198,70,128,5,14,65,114,Hall of Fame Championships,Newport,Outdoor,Grass,2021-07-14,2.5,1.53,1
Ofner S.,61,34,16,18,1,2,15,16,Anderson K.,652,598,347,251,48,38,299,213,Hall of Fame Championships,Newport,Outdoor,Grass,2021-07-14,2.75,1.44,0
Jung J.,276,32,10,22,5,4,5,18,Sandgren T.,153,121,47,74,2,9,45,65,Hall of Fame Championships,Newport,Outdoor,Grass,2021-07-14,2.75,1.44,1
Querrey S.,287,678,369,309,48,39,321,270,Cressy M.,96,96,42,54,10,11,32,43,Hall of Fame Championships,Newport,Outdoor,Grass,2021-07-14,1.4,3.0,0
Gojowczyk P.,108,172,75,97,17,18,58,79,Pospisil V.,99,280,122,158,39,34,83,124,Hall of Fame Championships,Newport,Outdoor,Grass,2021-07-14,2.75,1.44,1
Sock J.,166,324,177,147,38,24,139,123,Nishioka Y.,31,215,99,116,15,15,84,101,Hall of Fame Championships,Newport,Outdoor,Grass,2021-07-14,1.72,2.1,1
Bublik A.,25,219,110,109,39,30,71,79,Karlovic I.,221,674,351,323,80,66,271,257,Hall of Fame Championships,Newport,Outdoor,Grass,2021-07-14,1.3,3.5,1
Millman J.,140,256,113,143,21,22,92,121,Rinderknech A.,67,96,46,50,16,12,30,38,Nordea Open,Bastad,Outdoor,Clay,2021-07-14,2.75,1.44,0
Vesely J.,528,288,130,158,6,19,124,139,Hanfmann Y.,50,99,50,49,5,4,45,45,Nordea Open,Bastad,Outdoor,Clay,2021-07-14,2.5,1.53,0
Krajinovic F.,93,240,115,125,38,34,77,91,Kohlschreiber P.,132,812,446,366,76,73,370,293,European Open,Hamburg,Outdoor,Clay,2021-07-14,1.8,2.0,1
Seyboth Wild T.,117,28,12,16,7,3,5,13,Djere L.,38,243,120,123,10,22,110,101,European Open,Hamburg,Outdoor,Clay,2021-07-14,4.0,1.25,0
Coria F.,108,99,43,56,2,6,41,50,Cecchinato M.,108,204,79,125,2,14,77,111,Nordea Open,Bastad,Outdoor,Clay,2021-07-14,2.37,1.57,1
Garin C.,101,190,103,87,15,13,88,74,Martinez P.,135,118,50,68,7,6,43,62,Nordea Open,Bastad,Outdoor,Clay,2021-07-14,1.57,2.37,1
Koepfer D.,84,86,38,48,3,3,35,45,Tsitsipas S.,5,390,264,126,49,32,215,94,European Open,Hamburg,Outdoor,Clay,2021-07-14,6.0,1.12,0
Delbonis F.,131,340,152,188,19,23,133,165,Ramos-Vinolas A.,82,437,204,233,17,31,187,202,European Open,Hamburg,Outdoor,Clay,2021-07-15,1.61,2.3,1
Rune H.,6,131,83,48,28,9,55,39,Ruud C.,4,275,176,99,19,16,157,83,Nordea Open,Bastad,Outdoor,Clay,2021-07-15,6.0,1.12,0
Fognini F.,128,742,383,359,39,48,344,311,Carballes Baena R.,64,207,91,116,11,10,80,106,Nordea Open,Bastad,Outdoor,Clay,2021-07-15,1.5,2.62,0
Gombos N.,114,66,21,45,6,14,15,31,Ruusuvuori E.,55,158,79,79,16,18,63,61,Nordea Open,Bastad,Outdoor,Clay,2021-07-15,1.72,2.1,1
Lajovic D.,66,378,163,215,21,36,142,179,Molcan A.,120,86,45,41,1,6,44,35,European Open,Hamburg,Outdoor,Clay,2021-07-15,1.8,2.0,1
Ymer E.,186,81,24,57,3,11,21,46,Laaksonen H.,125,101,37,64,7,16,30,48,Nordea Open,Bastad,Outdoor,Clay,2021-07-15,2.2,1.66,0
Bublik A.,25,219,110,109,39,30,71,79,Jung J.,276,32,10,22,5,4,5,18,Hall of Fame Championships,Newport,Outdoor,Grass,2021-07-15,1.3,3.5,1
Anderson K.,652,598,347,251,48,38,299,213,Sock J.,166,324,177,147,38,24,139,123,Hall of Fame Championships,Newport,Outdoor,Grass,2021-07-15,1.53,2.5,1
Taberner C.,181,37,13,24,4,6,9,18,Carreno Busta P.,16,352,214,138,33,25,181,113,European Open,Hamburg,Outdoor,Clay,2021-07-15,3.75,1.28,0
Varillas J. P.,1345,20,9,11,2,1,7,10,Paire B.,149,527,237,290,39,56,198,234,European Open,Hamburg,Outdoor,Clay,2021-07-15,1.44,2.75,0
Baez S.,72,95,47,48,6,6,41,42,Basilashvili N.,118,301,138,163,26,34,112,129,European Open,Hamburg,Outdoor,Clay,2021-07-15,2.37,1.57,0
Brooksby J.,39,79,46,33,6,5,40,28,Gojowczyk P.,108,172,75,97,17,18,58,79,Hall of Fame Championships,Newport,Outdoor,Grass,2021-07-16,1.72,2.1,1
Cressy M.,96,96,42,54,10,11,32,43,Thompson J.,71,221,96,125,10,10,86,115,Hall of Fame Championships,Newport,Outdoor,Grass,2021-07-16,2.75,1.44,0
Rinderknech A.,67,96,46,50,16,12,30,38,Hanfmann Y.,50,99,50,49,5,4,45,45,Nordea Open,Bastad,Outdoor,Clay,2021-07-16,2.0,1.8,0
Garin C.,101,190,103,87,15,13,88,74,Coria F.,108,99,43,56,2,6,41,50,Nordea Open,Bastad,Outdoor,Clay,2021-07-16,1.33,3.4,0
Laaksonen H.,125,101,37,64,7,16,30,48,Ruud C.,4,275,176,99,19,16,157,83,Nordea Open,Bastad,Outdoor,Clay,2021-07-16,5.5,1.14,0
Carballes Baena R.,64,207,91,116,11,10,80,106,Gombos N.,114,66,21,45,6,14,15,31,Nordea Open,Bastad,Outdoor,Clay,2021-07-16,2.0,1.8,1
Djere L.,38,243,120,123,10,22,110,101,Basilashvili N.,118,301,138,163,26,34,112,129,European Open,Hamburg,Outdoor,Clay,2021-07-16,1.53,2.5,1
Krajinovic F.,93,240,115,125,38,34,77,91,Tsitsipas S.,5,390,264,126,49,32,215,94,European Open,Hamburg,Outdoor,Clay,2021-07-16,5.5,1.14,1
Carreno Busta P.,16,352,214,138,33,25,181,113,Lajovic D.,66,378,163,215,21,36,142,179,European Open,Hamburg,Outdoor,Clay,2021-07-16,1.3,3.5,1
Delbonis F.,131,340,152,188,19,23,133,165,Paire B.,149,527,237,290,39,56,198,234,European Open,Hamburg,Outdoor,Clay,2021-07-16,1.22,4.33,1
Brooksby J.,39,79,46,33,6,5,40,28,Thompson J.,71,221,96,125,10,10,86,115,Hall of Fame Championships,Newport,Outdoor,Grass,2021-07-17,2.0,1.8,1
Bublik A.,25,219,110,109,39,30,71,79,Anderson K.,652,598,347,251,48,38,299,213,Hall of Fame Championships,Newport,Outdoor,Grass,2021-07-17,1.8,2.0,0
Djere L.,38,243,120,123,10,22,110,101,Krajinovic F.,93,240,115,125,38,34,77,91,European Open,Hamburg,Outdoor,Clay,2021-07-17,2.2,1.66,0
Carreno Busta P.,16,352,214,138,33,25,181,113,Delbonis F.,131,340,152,188,19,23,133,165,European Open,Hamburg,Outdoor,Clay,2021-07-17,1.5,2.62,1
Ruud C.,4,275,176,99,19,16,157,83,Carballes Baena R.,64,207,91,116,11,10,80,106,Nordea Open,Bastad,Outdoor,Clay,2021-07-17,1.14,5.5,1
Hanfmann Y.,50,99,50,49,5,4,45,45,Coria F.,108,99,43,56,2,6,41,50,Nordea Open,Bastad,Outdoor,Clay,2021-07-17,1.8,2.0,0
Carreno Busta P.,16,352,214,138,33,25,181,113,Krajinovic F.,93,240,115,125,38,34,77,91,European Open,Hamburg,Outdoor,Clay,2021-07-18,1.66,2.2,1
Ruud C.,4,275,176,99,19,16,157,83,Coria F.,108,99,43,56,2,6,41,50,Nordea Open,Bastad,Outdoor,Clay,2021-07-18,1.14,5.5,1
Brooksby J.,39,79,46,33,6,5,40,28,Anderson K.,652,598,347,251,48,38,299,213,Hall of Fame Championships,Newport,Outdoor,Grass,2021-07-18,2.3,1.61,0
Travaglia S.,1024,81,27,54,5,12,22,42,Munar J.,104,178,75,103,7,12,68,91,Croatia Open,Umag,Outdoor,Clay,2021-07-19,2.62,1.5,1
Couacaud E.,158,9,2,7,0,1,2,6,Ymer M.,59,130,58,72,18,23,40,49,Suisse Open Gstaad,Gstaad,Outdoor,Clay,2021-07-19,3.0,1.4,0
Paire B.,149,527,237,290,39,56,198,234,Kovalik J.,172,68,24,44,5,8,19,36,Suisse Open Gstaad,Gstaad,Outdoor,Clay,2021-07-19,1.57,2.37,1
Lopez F.,634,863,441,422,71,82,370,340,Huesler M.A.,88,58,21,37,8,8,13,29,Suisse Open Gstaad,Gstaad,Outdoor,Clay,2021-07-19,2.0,1.8,1
Nikles J.,317,4,1,3,0,0,1,3,Kopriva V.,159,9,5,4,0,0,5,4,Suisse Open Gstaad,Gstaad,Outdoor,Clay,2021-07-19,3.2,1.36,0
Serdarusic N.,702,9,1,8,0,3,1,5,Taberner C.,181,37,13,24,4,6,9,18,Croatia Open,Umag,Outdoor,Clay,2021-07-19,4.33,1.22,0
Otte O.,233,78,33,45,6,14,27,31,Bergs Z.,175,15,4,11,1,5,3,6,Suisse Open Gstaad,Gstaad,Outdoor,Clay,2021-07-19,1.44,2.75,0
Albot R.,97,215,86,129,26,26,60,103,Rune H.,6,131,83,48,28,9,55,39,Croatia Open,Umag,Outdoor,Clay,2021-07-19,3.4,1.33,1
Polmans M.,165,19,5,14,0,3,5,11,Ehrat S.,408,3,0,3,0,0,0,3,Suisse Open Gstaad,Gstaad,Outdoor,Clay,2021-07-19,1.8,2.0,1
Delbonis F.,131,340,152,188,19,23,133,165,Riedi L.,135,5,1,4,1,1,0,3,Suisse Open Gstaad,Gstaad,Outdoor,Clay,2021-07-20,1.06,10.0,1
Zapata Miralles B.,54,80,32,48,1,6,31,42,Cuevas P.,149,421,210,211,34,25,176,186,Croatia Open,Umag,Outdoor,Clay,2021-07-20,2.1,1.72,1
Vesely J.,528,288,130,158,6,19,124,139,Giannessi A.,224,35,12,23,1,4,11,19,Croatia Open,Umag,Outdoor,Clay,2021-07-20,1.72,2.1,0
Moutet C.,80,118,50,68,5,11,45,57,Altmaier D.,51,79,28,51,1,5,27,46,Croatia Open,Umag,Outdoor,Clay,2021-07-20,2.1,1.72,0
Collarini A.,210,1,0,1,0,0,0,1,Ajdukovic D.,299,4,1,3,0,0,1,3,Croatia Open,Umag,Outdoor,Clay,2021-07-20,2.0,1.8,0
Horansky F.,185,8,1,7,0,2,1,5,Dzumhur D.,202,234,107,127,31,29,76,98,Croatia Open,Umag,Outdoor,Clay,2021-07-20,2.3,1.61,0
Martin A.,723,258,107,151,6,13,101,138,Olivo R.,179,55,23,32,4,4,19,28,Croatia Open,Umag,Outdoor,Clay,2021-07-20,1.72,2.1,1
Kudla D.,137,198,70,128,5,14,65,114,Kokkinakis T.,86,124,55,69,0,4,55,65,Mifel Open,Los Cabos,Outdoor,Hard,2021-07-20,2.62,1.5,1
Johnson S.,197,395,196,199,16,23,180,176,Lopez Villasenor G.,654,4,0,4,0,0,0,4,Mifel Open,Los Cabos,Outdoor,Hard,2021-07-20,1.11,6.5,1
Nakashima B.,70,106,57,49,6,5,51,44,Wolf J.J.,45,75,39,36,8,6,31,30,Mifel Open,Los Cabos,Outdoor,Hard,2021-07-20,1.2,4.5,1
Bolt A.,345,40,13,27,0,0,13,27,Seppi A.,141,758,363,395,74,85,289,310,Mifel Open,Los Cabos,Outdoor,Hard,2021-07-20,2.1,1.72,1
Rodionov J.,118,26,9,17,2,3,7,14,Ofner S.,61,34,16,18,1,2,15,16,Mifel Open,Los Cabos,Outdoor,Hard,2021-07-20,2.3,1.61,0
Djere L.,38,243,120,123,10,22,110,101,Seyboth Wild T.,117,28,12,16,7,3,5,13,Suisse Open Gstaad,Gstaad,Outdoor,Clay,2021-07-20,1.25,4.0,1
Bedene A.,347,291,131,160,18,23,113,137,Cecchinato M.,108,204,79,125,2,14,77,111,Croatia Open,Umag,Outdoor,Clay,2021-07-20,2.2,1.66,0
Zuk K.,172,3,0,3,0,2,0,1,Novak D.,166,58,15,43,6,16,9,27,Suisse Open Gstaad,Gstaad,Outdoor,Clay,2021-07-20,1.72,2.1,0
Donskoy E.,149,162,50,112,14,33,36,79,Jung J.,276,32,10,22,5,4,5,18,Mifel Open,Los Cabos,Outdoor,Hard,2021-07-20,2.75,1.44,1
Alcaraz C.,1,164,130,34,10,5,120,29,Pouille L.,675,259,134,125,35,26,99,99,Croatia Open,Umag,Outdoor,Clay,2021-07-20,1.22,4.33,1
Cerundolo J.M.,106,29,12,17,2,3,10,14,Gaston H.,109,58,24,34,5,9,19,25,Suisse Open Gstaad,Gstaad,Outdoor,Clay,2021-07-20,2.1,1.72,0
Londero J.I.,142,83,34,49,3,5,31,44,Griekspoor T.,37,97,47,50,7,14,40,36,Suisse Open Gstaad,Gstaad,Outdoor,Clay,2021-07-20,2.1,1.72,0
Rinderknech A.,67,96,46,50,16,12,30,38,Stricker D.,106,20,10,10,2,2,8,8,Suisse Open Gstaad,Gstaad,Outdoor,Clay,2021-07-20,1.8,2.0,1
Mager G.,67,59,24,35,3,7,21,28,Martinez P.,135,118,50,68,7,6,43,62,Croatia Open,Umag,Outdoor,Clay,2021-07-20,2.37,1.57,1
Djere L.,38,243,120,123,10,22,110,101,Bergs Z.,175,15,4,11,1,5,3,6,Suisse Open Gstaad,Gstaad,Outdoor,Clay,2021-07-21,1.25,4.0,1
Gaston H.,109,58,24,34,5,9,19,25,Delbonis F.,131,340,152,188,19,23,133,165,Suisse Open Gstaad,Gstaad,Outdoor,Clay,2021-07-21,3.75,1.28,1
Bautista Agut R.,25,379,234,145,31,29,203,116,Rinderknech A.,67,96,46,50,16,12,30,38,Suisse Open Gstaad,Gstaad,Outdoor,Clay,2021-07-21,1.44,2.75,0
Garin C.,101,190,103,87,15,13,88,74,Polmans M.,165,19,5,14,0,3,5,11,Suisse Open Gstaad,Gstaad,Outdoor,Clay,2021-07-21,1.16,5.0,1
Gomez E.,155,26,7,19,2,2,5,17,Mejia N.,301,1,0,1,0,0,0,1,Mifel Open,Los Cabos,Outdoor,Hard,2021-07-21,1.53,2.5,1
Thompson J.,71,221,96,125,10,10,86,115,Karlovic I.,221,674,351,323,80,66,271,257,Mifel Open,Los Cabos,Outdoor,Hard,2021-07-21,1.3,3.5,1
Giannessi A.,224,35,12,23,1,4,11,19,Gasquet R.,48,948,581,367,133,82,448,285,Croatia Open,Umag,Outdoor,Clay,2021-07-21,2.62,1.5,0
Uchiyama Y.,314,33,9,24,1,3,8,21,Sarkissian A.,478,6,2,4,0,0,2,4,Mifel Open,Los Cabos,Outdoor,Hard,2021-07-21,1.5,2.62,1
Marchenko I.,164,131,50,81,18,23,32,58,Gojowczyk P.,108,172,75,97,17,18,58,79,Mifel Open,Los Cabos,Outdoor,Hard,2021-07-21,2.2,1.66,1
Dzumhur D.,202,234,107,127,31,29,76,98,Cecchinato M.,108,204,79,125,2,14,77,111,Croatia Open,Umag,Outdoor,Clay,2021-07-21,3.2,1.36,1
Ramos-Vinolas A.,82,437,204,233,17,31,187,202,Ajdukovic D.,299,4,1,3,0,0,1,3,Croatia Open,Umag,Outdoor,Clay,2021-07-21,1.33,3.4,1
Taberner C.,181,37,13,24,4,6,9,18,Travaglia S.,1024,81,27,54,5,12,22,42,Croatia Open,Umag,Outdoor,Clay,2021-07-21,1.66,2.2,0
Mcdonald M.,60,190,87,103,11,15,76,88,Escobedo E.,377,57,20,37,2,2,18,35,Mifel Open,Los Cabos,Outdoor,Hard,2021-07-21,1.53,2.5,0
Ymer E.,186,81,24,57,3,11,21,46,Ebden M.,432,203,75,128,13,18,62,110,Mifel Open,Los Cabos,Outdoor,Hard,2021-07-21,2.3,1.61,1
Martin A.,723,258,107,151,6,13,101,138,Alcaraz C.,1,164,130,34,10,5,120,29,Croatia Open,Umag,Outdoor,Clay,2021-07-22,5.0,1.16,0
Zapata Miralles B.,54,80,32,48,1,6,31,42,Lajovic D.,66,378,163,215,21,36,142,179,Croatia Open,Umag,Outdoor,Clay,2021-07-22,2.2,1.66,0
Altmaier D.,51,79,28,51,1,5,27,46,Mager G.,67,59,24,35,3,7,21,28,Croatia Open,Umag,Outdoor,Clay,2021-07-22,2.1,1.72,1
Krajinovic F.,93,240,115,125,38,34,77,91,Albot R.,97,215,86,129,26,26,60,103,Croatia Open,Umag,Outdoor,Clay,2021-07-22,1.16,5.0,1
Escobedo E.,377,57,20,37,2,2,18,35,Kudla D.,137,198,70,128,5,14,65,114,Mifel Open,Los Cabos,Outdoor,Hard,2021-07-22,2.2,1.66,1
Ymer M.,59,130,58,72,18,23,40,49,Lopez F.,634,863,441,422,71,82,370,340,Suisse Open Gstaad,Gstaad,Outdoor,Clay,2021-07-22,1.61,2.3,1
Kopriva V.,159,9,5,4,0,0,5,4,Shapovalov D.,29,298,166,132,30,27,136,105,Suisse Open Gstaad,Gstaad,Outdoor,Clay,2021-07-22,5.0,1.16,1
Bolt A.,345,40,13,27,0,0,13,27,Gomez E.,155,26,7,19,2,2,5,17,Mifel Open,Los Cabos,Outdoor,Hard,2021-07-22,1.72,2.1,1
Thompson J.,71,221,96,125,10,10,86,115,Ofner S.,61,34,16,18,1,2,15,16,Mifel Open,Los Cabos,Outdoor,Hard,2021-07-22,1.61,2.3,1
Paire B.,149,527,237,290,39,56,198,234,Griekspoor T.,37,97,47,50,7,14,40,36,Suisse Open Gstaad,Gstaad,Outdoor,Clay,2021-07-22,1.9,1.9,1
Ymer E.,186,81,24,57,3,11,21,46,Norrie C.,13,287,172,115,15,18,157,97,Mifel Open,Los Cabos,Outdoor,Hard,2021-07-22,4.5,1.2,0
Uchiyama Y.,314,33,9,24,1,3,8,21,Johnson S.,197,395,196,199,16,23,180,176,Mifel Open,Los Cabos,Outdoor,Hard,2021-07-22,2.75,1.44,0
Donskoy E.,149,162,50,112,14,33,36,79,Isner J.,114,755,465,290,53,45,412,245,Mifel Open,Los Cabos,Outdoor,Hard,2021-07-22,5.0,1.16,0
Marchenko I.,164,131,50,81,18,23,32,58,Fritz T.,9,356,205,151,26,22,179,129,Mifel Open,Los Cabos,Outdoor,Hard,2021-07-22,4.5,1.2,0
Novak D.,166,58,15,43,6,16,9,27,Ruud C.,4,275,176,99,19,16,157,83,Suisse Open Gstaad,Gstaad,Outdoor,Clay,2021-07-22,8.0,1.08,0
Nakashima B.,70,106,57,49,6,5,51,44,Querrey S.,287,678,369,309,48,39,321,270,Mifel Open,Los Cabos,Outdoor,Hard,2021-07-22,1.57,2.37,1
Rinderknech A.,67,96,46,50,16,12,30,38,Djere L.,38,243,120,123,10,22,110,101,Suisse Open Gstaad,Gstaad,Outdoor,Clay,2021-07-23,2.2,1.66,0
Gasquet R.,48,948,581,367,133,82,448,285,Dzumhur D.,202,234,107,127,31,29,76,98,Croatia Open,Umag,Outdoor,Clay,2021-07-23,1.61,2.3,1
Altmaier D.,51,79,28,51,1,5,27,46,Lajovic D.,66,378,163,215,21,36,142,179,Croatia Open,Umag,Outdoor,Clay,2021-07-23,2.5,1.53,1
Travaglia S.,1024,81,27,54,5,12,22,42,Ramos-Vinolas A.,82,437,204,233,17,31,187,202,Croatia Open,Umag,Outdoor,Clay,2021-07-23,2.2,1.66,0
Krajinovic F.,93,240,115,125,38,34,77,91,Alcaraz C.,1,164,130,34,10,5,120,29,Croatia Open,Umag,Outdoor,Clay,2021-07-23,2.1,1.72,0
Gaston H.,109,58,24,34,5,9,19,25,Garin C.,101,190,103,87,15,13,88,74,Suisse Open Gstaad,Gstaad,Outdoor,Clay,2021-07-23,3.75,1.28,1
Kopriva V.,159,9,5,4,0,0,5,4,Ymer M.,59,130,58,72,18,23,40,49,Suisse Open Gstaad,Gstaad,Outdoor,Clay,2021-07-23,2.37,1.57,1
Isner J.,114,755,465,290,53,45,412,245,Bolt A.,345,40,13,27,0,0,13,27,Mifel Open,Los Cabos,Outdoor,Hard,2021-07-23,1.33,3.4,1
Fritz T.,9,356,205,151,26,22,179,129,Johnson S.,197,395,196,199,16,23,180,176,Mifel Open,Los Cabos,Outdoor,Hard,2021-07-23,1.44,2.75,1
Norrie C.,13,287,172,115,15,18,157,97,Escobedo E.,377,57,20,37,2,2,18,35,Mifel Open,Los Cabos,Outdoor,Hard,2021-07-23,1.25,4.0,1
Thompson J.,71,221,96,125,10,10,86,115,Nakashima B.,70,106,57,49,6,5,51,44,Mifel Open,Los Cabos,Outdoor,Hard,2021-07-23,2.5,1.53,0
Ruud C.,4,275,176,99,19,16,157,83,Paire B.,149,527,237,290,39,56,198,234,Suisse Open Gstaad,Gstaad,Outdoor,Clay,2021-07-23,1.2,4.5,1
Djere L.,38,243,120,123,10,22,110,101,Gaston H.,109,58,24,34,5,9,19,25,Suisse Open Gstaad,Gstaad,Outdoor,Clay,2021-07-24,1.4,3.0,0
Kopriva V.,159,9,5,4,0,0,5,4,Ruud C.,4,275,176,99,19,16,157,83,Suisse Open Gstaad,Gstaad,Outdoor,Clay,2021-07-24,6.5,1.11,0
Nakashima B.,70,106,57,49,6,5,51,44,Isner J.,114,755,465,290,53,45,412,245,Mifel Open,Los Cabos,Outdoor,Hard,2021-07-24,2.62,1.5,1
Norrie C.,13,287,172,115,15,18,157,97,Fritz T.,9,356,205,151,26,22,179,129,Mifel Open,Los Cabos,Outdoor,Hard,2021-07-24,1.53,2.5,1
Gasquet R.,48,948,581,367,133,82,448,285,Altmaier D.,51,79,28,51,1,5,27,46,Croatia Open,Umag,Outdoor,Clay,2021-07-24,1.72,2.1,1
Alcaraz C.,1,164,130,34,10,5,120,29,Ramos-Vinolas A.,82,437,204,233,17,31,187,202,Croatia Open,Umag,Outdoor,Clay,2021-07-24,1.44,2.75,1
Ruud C.,4,275,176,99,19,16,157,83,Gaston H.,109,58,24,34,5,9,19,25,Suisse Open Gstaad,Gstaad,Outdoor,Clay,2021-07-25,1.14,5.5,1
Norrie C.,13,287,172,115,15,18,157,97,Nakashima B.,70,106,57,49,6,5,51,44,Mifel Open,Los Cabos,Outdoor,Hard,2021-07-25,1.4,3.0,1
Gasquet R.,48,948,581,367,133,82,448,285,Alcaraz C.,1,164,130,34,10,5,120,29,Croatia Open,Umag,Outdoor,Clay,2021-07-25,4.0,1.25,0
Cuevas P.,149,421,210,211,34,25,176,186,Ymer M.,59,130,58,72,18,23,40,49,Generali Open,Kitzbuhel,Outdoor,Clay,2021-07-26,1.5,2.62,0
Martinez P.,135,118,50,68,7,6,43,62,Pouille L.,675,259,134,125,35,26,99,99,Generali Open,Kitzbuhel,Outdoor,Clay,2021-07-26,1.57,2.37,1
Vesely J.,528,288,130,158,6,19,124,139,Gulbis E.,191,453,221,232,55,51,166,181,Generali Open,Kitzbuhel,Outdoor,Clay,2021-07-26,1.53,2.5,1
Fratangelo B.,695,62,22,40,0,1,22,39,Seppi A.,141,758,363,395,74,85,289,310,BB&T Atlanta Open,Atlanta,Outdoor,Hard,2021-07-26,1.57,2.37,1
Johnson S.,197,395,196,199,16,23,180,176,Popyrin A.,90,140,59,81,9,13,50,68,BB&T Atlanta Open,Atlanta,Outdoor,Hard,2021-07-26,2.3,1.61,1
Thompson J.,71,221,96,125,10,10,86,115,Harris L.,186,129,59,70,7,8,52,62,BB&T Atlanta Open,Atlanta,Outdoor,Hard,2021-07-26,2.2,1.66,1
Seyboth Wild T.,117,28,12,16,7,3,5,13,Taberner C.,181,37,13,24,4,6,9,18,Generali Open,Kitzbuhel,Outdoor,Clay,2021-07-26,2.62,1.5,0
Munar J.,104,178,75,103,7,12,68,91,Kovalik J.,172,68,24,44,5,8,19,36,Generali Open,Kitzbuhel,Outdoor,Clay,2021-07-26,1.4,3.0,0
Mager G.,67,59,24,35,3,7,21,28,Novak D.,166,58,15,43,6,16,9,27,Generali Open,Kitzbuhel,Outdoor,Clay,2021-07-27,1.61,2.3,1
Altmaier D.,51,79,28,51,1,5,27,46,Djere L.,38,243,120,123,10,22,110,101,Generali Open,Kitzbuhel,Outdoor,Clay,2021-07-27,2.62,1.5,1
Albot R.,97,215,86,129,26,26,60,103,Cecchinato M.,108,204,79,125,2,14,77,111,Generali Open,Kitzbuhel,Outdoor,Clay,2021-07-27,2.75,1.44,0
Neumayer L.,980,1,0,1,0,0,0,1,Vilella Martinez M.,167,10,4,6,0,0,4,6,Generali Open,Kitzbuhel,Outdoor,Clay,2021-07-27,5.0,1.16,0
Rune H.,6,131,83,48,28,9,55,39,Travaglia S.,1024,81,27,54,5,12,22,42,Generali Open,Kitzbuhel,Outdoor,Clay,2021-07-27,2.1,1.72,1
Delbonis F.,131,340,152,188,19,23,133,165,Rinderknech A.,67,96,46,50,16,12,30,38,Generali Open,Kitzbuhel,Outdoor,Clay,2021-07-27,1.61,2.3,0
Erler A.,337,2,1,1,0,0,1,1,Alcaraz C.,1,164,130,34,10,5,120,29,Generali Open,Kitzbuhel,Outdoor,Clay,2021-07-27,11.0,1.05,1
Mcdonald M.,60,190,87,103,11,15,76,88,Ruusuvuori E.,55,158,79,79,16,18,63,61,BB&T Atlanta Open,Atlanta,Outdoor,Hard,2021-07-27,1.8,2.0,0
