name,ATPRank,games,wins,loses,players_odds,indoors_win,indoors_loss,outdoors_win,outdoors_loss,ratio_win,players_indoors_win_ratio,players_outdoors_win_ratio
Thiem D.,116,517,327,190,2.0680376629647514,53,39,274,151,0.632495164410058,0.5760869565217391,0.6447058823529411
Thiem D. ,5,5,3,2,2.548333333333334,3,2,0,0,0.6,0.6,
Thomann N.,266,10,2,8,,1,4,1,4,0.2,0.2,0.2
Thompson C.,2159,1,0,1,,0,0,0,1,0.0,,0.0
Thompson J.,71,221,96,125,2.588425263157895,10,10,86,115,0.4343891402714932,0.5,0.42786069651741293
Thron A.,901,2,0,2,,0,1,0,1,0.0,0.0,0.0
Tiafoe F.,10,303,158,145,2.3218030554343083,24,23,134,122,0.5214521452145214,0.5106382978723404,0.5234375
Tien L.,1042,1,0,1,,0,0,0,1,0.0,,0.0
Tipsarevic J.,251,481,243,238,2.367034664830119,52,49,191,189,0.5051975051975052,0.5148514851485149,0.5026315789473684
Tipsarevic J. ,39,2,1,1,2.14,1,1,0,0,0.5,0.5,
Tirante T.A.,136,5,2,3,3.5308333333333333,0,0,2,3,0.4,,0.4
Tiurnev E.,304,1,0,1,,0,1,0,0,0.0,0.0,
Tomic B.,233,349,169,180,2.642903846153846,13,23,156,157,0.48424068767908307,0.3611111111111111,0.4984025559105431
Topic J.,605,1,0,1,,0,0,0,1,0.0,,0.0
Topo M.,478,4,0,4,,0,0,0,4,0.0,,0.0
Torebko P.,384,2,0,2,,0,0,0,2,0.0,,0.0
Torpegaard M.,188,4,1,3,2.658333333333333,0,0,1,3,0.25,,0.25
Travaglia S.,1024,81,27,54,2.7477777777777774,5,12,22,42,0.3333333333333333,0.29411764705882354,0.34375
Trevisan M.,462,1,0,1,,0,0,0,1,0.0,,0.0
Trinker B.,417,3,1,2,6.75,0,0,1,2,0.3333333333333333,,0.3333333333333333
Troicki V.,230,525,269,256,2.633720265858209,61,51,208,205,0.5123809523809524,0.5446428571428571,0.5036319612590799
Troicki V. ,29,2,1,1,2.575,1,1,0,0,0.5,0.5,
Trongcharoenchaikul W.,1217,1,0,1,,0,1,0,0,0.0,0.0,
Trujillo G.,237,2,1,1,7.55,0,0,1,1,0.5,,0.5
Trungelliti M.,240,33,13,20,3.4615833333333335,2,2,11,18,0.3939393939393939,0.5,0.3793103448275862
Trusendi W.,386,1,0,1,,0,0,0,1,0.0,,0.0
Tseng C. H.,108,8,2,6,3.2158333333333333,0,1,2,5,0.25,0.0,0.2857142857142857
Tseng C.H.,145,9,1,8,2.44875,0,0,1,8,0.1111111111111111,,0.1111111111111111
Tsitsipas P.,970,1,0,1,,0,1,0,0,0.0,0.0,
Tsitsipas S.,5,390,264,126,1.8607575665399239,49,32,215,94,0.676923076923077,0.6049382716049383,0.6957928802588996
Tsitsipas S. ,6,5,4,1,2.6875,4,1,0,0,0.8,0.8,
Tsonga J.W.,297,672,444,228,2.032182844413296,139,62,305,166,0.6607142857142857,0.6915422885572139,0.6475583864118896
Tsonga J.W. ,9,1,0,1,,0,1,0,0,0.0,0.0,
Tu L.,252,5,1,4,3.3125,0,0,1,4,0.2,,0.2
Tuksar S.,166,5,0,5,,0,1,0,4,0.0,0.0,0.0
Tursunov D.,645,429,218,211,2.6261244693038615,55,41,163,170,0.5081585081585082,0.5729166666666666,0.4894894894894895
Tveit E.,925,1,0,1,,0,0,0,1,0.0,,0.0
Tyurnev E.,548,1,0,1,,0,1,0,0,0.0,0.0,
Uchida K.,155,4,1,3,4.305,0,0,1,3,0.25,,0.25
Uchiyama Y.,314,33,9,24,3.305486111111111,1,3,8,21,0.2727272727272727,0.25,0.27586206896551724
Udomchoke D.,145,64,15,49,3.121100303951368,3,10,12,39,0.234375,0.23076923076923078,0.23529411764705882
Uebel L.,288,1,0,1,,0,0,0,1,0.0,,0.0
Ugo Carabelli C.,122,5,2,3,3.059166666666667,0,1,2,2,0.4,0.0,0.5
Ulihrach B.,145,43,13,30,3.2249886363636366,3,5,10,25,0.3023255813953488,0.375,0.2857142857142857
Ungur A.,203,33,6,27,5.313425925925925,0,1,6,26,0.18181818181818182,0.0,0.1875
Uppal V.,526,1,0,1,,0,0,0,1,0.0,,0.0
Urban F.,560,1,0,1,,0,0,0,1,0.0,,0.0
Vacek J.,342,23,7,16,3.354702380952381,0,0,7,16,0.30434782608695654,,0.30434782608695654
Vacherot V.,357,1,0,1,,0,0,0,1,0.0,,0.0
Vagnozzi S.,192,11,4,7,4.033333333333333,0,0,4,7,0.36363636363636365,,0.36363636363636365
Vahaly B.,164,16,3,13,2.6753333333333336,0,2,3,11,0.1875,0.0,0.21428571428571427
Vaisse M.,309,1,0,1,,0,0,0,1,0.0,,0.0
Valent R.,1088,1,0,1,,0,1,0,0,0.0,0.0,
Valkusz M.,323,1,0,1,,0,0,0,1,0.0,,0.0
Van Assche L.,68,20,7,13,2.9723626373626373,0,3,7,10,0.35,0.0,0.4117647058823529
Van D. Merwe I.,118,1,0,1,,0,1,0,0,0.0,0.0,
Van De Zandschulp B.,44,117,63,54,2.7035449735449735,11,11,52,43,0.5384615384615384,0.5,0.5473684210526316
Van Der Merwe I.,155,10,6,4,3.0408333333333335,0,1,6,3,0.6,0.0,0.6666666666666666
Van Rijthoven T.,110,19,10,9,3.4004444444444446,0,4,10,5,0.5263157894736842,0.0,0.6666666666666666
Van der Dium A.,995,1,0,1,,0,1,0,0,0.0,0.0,
Van der Merwe I.,286,3,1,2,2.425,0,0,1,2,0.3333333333333333,,0.3333333333333333
Vanek J.,155,106,35,71,3.379643270944742,3,10,32,61,0.330188679245283,0.23076923076923078,0.34408602150537637
Vanni L.,163,23,5,18,3.51764705882353,3,6,2,12,0.21739130434782608,0.3333333333333333,0.14285714285714285
Vardhan V.,313,2,0,2,,0,0,0,2,0.0,,0.0
Varillas J. P.,1345,20,9,11,2.7432323232323235,2,1,7,10,0.45,0.6666666666666666,0.4117647058823529
Varillas J.P.,77,22,10,12,3.0788333333333333,1,3,9,9,0.45454545454545453,0.25,0.5
Vasilevski A.,785,1,0,1,,0,1,0,0,0.0,0.0,
Vassallo-Arguello M.,102,121,46,75,3.1579785531370037,1,3,45,72,0.38016528925619836,0.25,0.38461538461538464
Vassallo-Arguello M. ,72,1,0,1,,0,1,0,0,0.0,0.0,
Vatutin A.,295,8,2,6,2.868333333333333,0,2,2,4,0.25,0.0,0.3333333333333333
Vavassori A.,128,12,5,7,3.428,1,1,4,6,0.4166666666666667,0.5,0.4
Vega Hernandez D.,440,1,0,1,,0,0,0,1,0.0,,0.0
Veger F.,836,1,0,1,,0,1,0,0,0.0,0.0,
Veic A.,228,32,10,22,4.394272727272727,2,6,8,16,0.3125,0.25,0.3333333333333333
Velotti A.,184,4,0,4,,0,0,0,4,0.0,,0.0
Vemic D.,178,18,8,10,3.1470000000000002,0,1,8,9,0.4444444444444444,0.0,0.47058823529411764
Ventura S.,139,97,38,59,2.8086339285714286,0,0,38,59,0.3917525773195876,,0.3917525773195876
Venus M.,0,11,1,10,5.3365,0,0,1,10,0.09090909090909091,,0.09090909090909091
Verdasco F.,244,962,537,425,2.20486088071483,79,79,458,346,0.5582120582120582,0.5,0.5696517412935324
Verdasco F. ,8,4,3,1,1.7966666666666669,3,1,0,0,0.75,0.75,
Verdasco M.,53,2,1,1,1.79,0,0,1,1,0.5,,0.5
Verkerk M.,270,50,23,27,2.4057827272727272,2,3,21,24,0.46,0.4,0.4666666666666667
Veronelli D.,172,1,0,1,,0,0,0,1,0.0,,0.0
Vesely J.,528,288,130,158,2.4616816308507508,6,19,124,139,0.4513888888888889,0.24,0.4714828897338403
Vicente F.,268,45,12,33,2.886894265232975,0,1,12,32,0.26666666666666666,0.0,0.2727272727272727
Vicente M.,188,1,0,1,,0,0,0,1,0.0,,0.0
Vico U.,254,7,2,5,,1,2,1,3,0.2857142857142857,0.3333333333333333,0.25
Vik R.,378,54,19,35,3.310248161764706,4,8,15,27,0.35185185185185186,0.3333333333333333,0.35714285714285715
Vilella Martinez M.,167,10,4,6,3.7391666666666667,0,0,4,6,0.4,,0.4
Villanueva G.,279,1,0,1,,0,0,0,1,0.0,,0.0
Vinciguerra A.,572,16,6,10,3.5944444444444446,1,3,5,7,0.375,0.25,0.4166666666666667
Viola M.,218,15,4,11,3.7498863636363633,2,4,2,7,0.26666666666666666,0.3333333333333333,0.2222222222222222
