player1_name,player1_atprank,player1_games,player1_wins,player1_loses,player2_name,player2_atprank,player2_games,player2_wins,player2_loses,match_date,match_location,match_tournament,match_surface,match_odd_player1,match_odd_player2,winner_player1
Sock J.,166,324,177,147,Nishioka Y.,31,215,99,116,2021-08-31,New York,US Open,Hard,2.0,1.8,1
Marterer M.,144,91,31,60,Johnson S.,197,395,196,199,2021-08-31,New York,US Open,Hard,2.62,1.5,0
Sandgren T.,153,121,47,74,Ivashka I.,113,159,78,81,2021-08-31,New York,US Open,Hard,4.0,1.25,0
Fognini F.,128,742,383,359,Pospisil V.,99,280,122,158,2021-08-31,New York,US Open,Hard,1.57,2.37,0
Svajda Z.,233,8,2,6,Cecchinato M.,108,204,79,125,2021-08-31,New York,US Open,Hard,2.75,1.44,1
Brooksby J.,39,79,46,33,Ymer M.,59,130,58,72,2021-08-31,New York,US Open,Hard,1.4,3.0,1
Sonego L.,43,221,107,114,Otte O.,233,78,33,45,2021-08-31,New York,US Open,Hard,1.33,3.4,0
Monfils G.,323,816,510,306,Coria F.,108,99,43,56,2021-08-31,New York,US Open,Hard,1.12,6.0,1
Hanfmann Y.,50,99,50,49,Bublik A.,25,219,110,109,2021-08-31,New York,US Open,Hard,5.0,1.16,0
Fucsovics M.,67,249,121,128,Seppi A.,141,758,363,395,2021-08-31,New York,US Open,Hard,1.16,5.0,0
Eubanks C.,29,64,28,36,Tiafoe F.,10,303,158,145,2021-08-31,New York,US Open,Hard,4.5,1.2,0
Krajinovic F.,93,240,115,125,Pella G.,199,260,118,142,2021-08-31,New York,US Open,Hard,1.3,3.5,0
Kyrgios N.,25,303,195,108,Bautista Agut R.,25,379,234,145,2021-08-31,New York,US Open,Hard,2.37,1.57,0
Medvedev D.,3,406,289,117,Gasquet R.,48,948,581,367,2021-08-31,New York,US Open,Hard,1.04,13.0,1
Musetti L.,18,143,79,64,Nava E.,242,13,2,11,2021-08-31,New York,US Open,Hard,1.4,3.0,1
Goffin D.,123,522,296,226,Mcdonald M.,60,190,87,103,2021-08-31,New York,US Open,Hard,3.0,1.4,0
Opelka R.,17,168,88,80,Kwon S.W.,68,108,53,55,2021-08-31,New York,US Open,Hard,1.3,3.5,1
Djere L.,38,243,120,123,Kudla D.,137,198,70,128,2021-08-31,New York,US Open,Hard,2.5,1.53,0
Ramos-Vinolas A.,82,437,204,233,Pouille L.,675,259,134,125,2021-08-31,New York,US Open,Hard,1.61,2.3,1
Harris L.,186,129,59,70,Khachanov K.,11,378,217,161,2021-08-31,New York,US Open,Hard,2.75,1.44,1
Nishikori K.,439,617,408,209,Caruso S.,146,63,19,44,2021-08-31,New York,US Open,Hard,1.11,6.5,1
Escobedo E.,377,57,20,37,Cuevas P.,149,421,210,211,2021-08-31,New York,US Open,Hard,1.57,2.37,1
Zverev A.,19,500,346,154,Querrey S.,287,678,369,309,2021-08-31,New York,US Open,Hard,1.04,13.0,1
Hurkacz H.,17,238,137,101,Gerasimov E.,150,93,43,50,2021-08-31,New York,US Open,Hard,1.12,6.0,1
Karatsev A.,75,136,66,70,Munar J.,104,178,75,103,2021-08-31,New York,US Open,Hard,1.25,4.0,1
Garin C.,101,190,103,87,Laaksonen H.,125,101,37,64,2021-09-01,New York,US Open,Hard,1.57,2.37,0
Pella G.,199,260,118,142,Tiafoe F.,10,303,158,145,2021-09-01,New York,US Open,Hard,3.2,1.36,0
Bautista Agut R.,25,379,234,145,Ruusuvuori E.,55,158,79,79,2021-09-01,New York,US Open,Hard,1.5,2.62,1
Auger-Aliassime F.,12,268,163,105,Zapata Miralles B.,54,80,32,48,2021-09-01,New York,US Open,Hard,1.11,6.5,1
Bagnis F.,135,121,39,82,Trungelliti M.,240,33,13,20,2021-09-01,New York,US Open,Hard,1.72,2.1,1
Andujar P.,323,404,164,240,Kohlschreiber P.,132,812,446,366,2021-09-01,New York,US Open,Hard,3.5,1.3,1
Gojowczyk P.,108,172,75,97,Lajovic D.,66,378,163,215,2021-09-01,New York,US Open,Hard,2.2,1.66,1
Koepfer D.,84,86,38,48,Medvedev D.,3,406,289,117,2021-09-01,New York,US Open,Hard,17.0,1.02,0
Giron M.,69,150,68,82,Evans D.,30,251,124,127,2021-09-01,New York,US Open,Hard,2.0,1.8,0
Molcan A.,120,86,45,41,Nakashima B.,70,106,57,49,2021-09-01,New York,US Open,Hard,3.5,1.3,1
Rinderknech A.,67,96,46,50,Alcaraz C.,1,164,130,34,2021-09-01,New York,US Open,Hard,3.4,1.33,0
Dimitrov G.,20,651,389,262,Popyrin A.,90,140,59,81,2021-09-01,New York,US Open,Hard,1.5,2.62,0
Martinez P.,135,118,50,68,Rublev A.,7,392,255,137,2021-09-01,New York,US Open,Hard,13.0,1.04,0
De Minaur A.,19,272,161,111,Fritz T.,9,356,205,151,2021-09-01,New York,US Open,Hard,1.57,2.37,0
Rune H.,6,131,83,48,Djokovic N.,2,1207,1012,195,2021-09-01,New York,US Open,Hard,23.0,1.01,0
Van De Zandschulp B.,44,117,63,54,Ruud C.,4,275,176,99,2021-09-01,New York,US Open,Hard,8.0,1.08,1
Fritz T.,9,356,205,151,Brooksby J.,39,79,46,33,2021-09-02,New York,US Open,Hard,1.9,1.9,0
Bublik A.,25,219,110,109,Sock J.,166,324,177,147,2021-09-02,New York,US Open,Hard,1.72,2.1,0
Sinner J.,8,224,153,71,Svajda Z.,233,8,2,6,2021-09-02,New York,US Open,Hard,1.05,11.0,1
Nishikori K.,439,617,408,209,Mcdonald M.,60,190,87,103,2021-09-02,New York,US Open,Hard,1.57,2.37,1
Harris L.,186,129,59,70,Escobedo E.,377,57,20,37,2021-09-02,New York,US Open,Hard,1.25,4.0,1
Monfils G.,323,816,510,306,Johnson S.,197,395,196,199,2021-09-02,New York,US Open,Hard,1.36,3.2,1
Hurkacz H.,17,238,137,101,Seppi A.,141,758,363,395,2021-09-02,New York,US Open,Hard,1.11,6.5,0
Kudla D.,137,198,70,128,Otte O.,233,78,33,45,2021-09-02,New York,US Open,Hard,1.57,2.37,0
Ivashka I.,113,159,78,81,Pospisil V.,99,280,122,158,2021-09-02,New York,US Open,Hard,1.22,4.33,1
Berrettini M.,38,217,142,75,Moutet C.,80,118,50,68,2021-09-02,New York,US Open,Hard,1.12,6.0,1
Cressy M.,96,96,42,54,Basilashvili N.,118,301,138,163,2021-09-02,New York,US Open,Hard,2.75,1.44,0
Thompson J.,71,221,96,125,Karatsev A.,75,136,66,70,2021-09-02,New York,US Open,Hard,3.0,1.4,0
Musetti L.,18,143,79,64,Opelka R.,17,168,88,80,2021-09-02,New York,US Open,Hard,4.33,1.22,0
Tsitsipas S.,5,390,264,126,Mannarino A.,27,567,264,303,2021-09-02,New York,US Open,Hard,1.05,11.0,1
Anderson K.,652,598,347,251,Schwartzman D.,95,428,233,195,2021-09-02,New York,US Open,Hard,2.75,1.44,0
Zverev A.,19,500,346,154,Ramos-Vinolas A.,82,437,204,233,2021-09-02,New York,US Open,Hard,1.02,17.0,1
Van De Zandschulp B.,44,117,63,54,Bagnis F.,135,121,39,82,2021-09-03,New York,US Open,Hard,1.36,3.2,1
Molcan A.,120,86,45,41,Schwartzman D.,95,428,233,195,2021-09-03,New York,US Open,Hard,4.5,1.2,0
Alcaraz C.,1,164,130,34,Tsitsipas S.,5,390,264,126,2021-09-03,New York,US Open,Hard,4.5,1.2,1
Medvedev D.,3,406,289,117,Andujar P.,323,404,164,240,2021-09-03,New York,US Open,Hard,1.01,23.0,1
Carballes Baena R.,64,207,91,116,Shapovalov D.,29,298,166,132,2021-09-03,New York,US Open,Hard,8.0,1.08,0
Gojowczyk P.,108,172,75,97,Laaksonen H.,125,101,37,64,2021-09-03,New York,US Open,Hard,2.3,1.61,1
Djokovic N.,2,1207,1012,195,Griekspoor T.,37,97,47,50,2021-09-03,New York,US Open,Hard,1.01,26.0,1
Evans D.,30,251,124,127,Popyrin A.,90,140,59,81,2021-09-03,New York,US Open,Hard,1.72,2.1,1
Djokovic N.,2,1207,1012,195,Nishikori K.,439,617,408,209,2021-09-04,New York,US Open,Hard,1.03,15.0,1
Brooksby J.,39,79,46,33,Karatsev A.,75,136,66,70,2021-09-04,New York,US Open,Hard,1.72,2.1,1
Seppi A.,141,758,363,395,Otte O.,233,78,33,45,2021-09-04,New York,US Open,Hard,2.1,1.72,0
Sinner J.,8,224,153,71,Monfils G.,323,816,510,306,2021-09-04,New York,US Open,Hard,1.57,2.37,1
Rublev A.,7,392,255,137,Tiafoe F.,10,303,158,145,2021-09-04,New York,US Open,Hard,1.25,4.0,0
Berrettini M.,38,217,142,75,Ivashka I.,113,159,78,81,2021-09-04,New York,US Open,Hard,1.44,2.75,1
Auger-Aliassime F.,12,268,163,105,Bautista Agut R.,25,379,234,145,2021-09-04,New York,US Open,Hard,2.0,1.8,1
Shapovalov D.,29,298,166,132,Harris L.,186,129,59,70,2021-09-05,New York,US Open,Hard,1.53,2.5,0
Opelka R.,17,168,88,80,Basilashvili N.,118,301,138,163,2021-09-05,New York,US Open,Hard,1.53,2.5,1
Zverev A.,19,500,346,154,Sock J.,166,324,177,147,2021-09-05,New York,US Open,Hard,1.03,15.0,1
Van De Zandschulp B.,44,117,63,54,Schwartzman D.,95,428,233,195,2021-09-05,New York,US Open,Hard,4.0,1.25,1
Evans D.,30,251,124,127,Medvedev D.,3,406,289,117,2021-09-05,New York,US Open,Hard,15.0,1.03,0
Alcaraz C.,1,164,130,34,Gojowczyk P.,108,172,75,97,2021-09-05,New York,US Open,Hard,1.22,4.33,1
Berrettini M.,38,217,142,75,Otte O.,233,78,33,45,2021-09-06,New York,US Open,Hard,1.11,6.5,1
Opelka R.,17,168,88,80,Harris L.,186,129,59,70,2021-09-06,New York,US Open,Hard,2.0,1.8,0
Tiafoe F.,10,303,158,145,Auger-Aliassime F.,12,268,163,105,2021-09-06,New York,US Open,Hard,2.37,1.57,0
Zverev A.,19,500,346,154,Sinner J.,8,224,153,71,2021-09-06,New York,US Open,Hard,1.16,5.0,1
Brooksby J.,39,79,46,33,Djokovic N.,2,1207,1012,195,2021-09-07,New York,US Open,Hard,15.0,1.03,0
Van De Zandschulp B.,44,117,63,54,Medvedev D.,3,406,289,117,2021-09-07,New York,US Open,Hard,19.0,1.02,0
Alcaraz C.,1,164,130,34,Auger-Aliassime F.,12,268,163,105,2021-09-08,New York,US Open,Hard,2.75,1.44,0
Harris L.,186,129,59,70,Zverev A.,19,500,346,154,2021-09-08,New York,US Open,Hard,6.0,1.12,0
Berrettini M.,38,217,142,75,Djokovic N.,2,1207,1012,195,2021-09-09,New York,US Open,Hard,7.0,1.1,0
Auger-Aliassime F.,12,268,163,105,Medvedev D.,3,406,289,117,2021-09-10,New York,US Open,Hard,5.0,1.16,0
Djokovic N.,2,1207,1012,195,Zverev A.,19,500,346,154,2021-09-11,New York,US Open,Hard,1.4,3.0,1
Djokovic N.,2,1207,1012,195,Medvedev D.,3,406,289,117,2021-09-12,New York,US Open,Hard,1.4,3.0,0
Djere L.,38,243,120,123,Galan D.E.,76,78,33,45,2021-09-20,Nur-Sultan,Astana Open,Hard,1.61,2.3,1
Kecmanovic M.,40,210,107,103,Verdasco F.,244,962,537,425,2021-09-20,Nur-Sultan,Astana Open,Hard,1.4,3.0,1
Pospisil V.,99,280,122,158,Barrere G.,59,79,31,48,2021-09-20,Metz,Open de Moselle,Hard,1.61,2.3,1
Seppi A.,141,758,363,395,Skatov T.,147,5,1,4,2021-09-20,Nur-Sultan,Astana Open,Hard,1.3,3.5,0
Sonego L.,43,221,107,114,Fucsovics M.,67,249,121,128,2021-09-20,Metz,Open de Moselle,Hard,2.1,1.72,1
Basilashvili N.,118,301,138,163,Mager G.,67,59,24,35,2021-09-20,Metz,Open de Moselle,Hard,1.36,3.2,1
Vesely J.,528,288,130,158,Munar J.,104,178,75,103,2021-09-20,Nur-Sultan,Astana Open,Hard,1.53,2.5,0
Ivashka I.,113,159,78,81,Ymer E.,186,81,24,57,2021-09-21,Nur-Sultan,Astana Open,Hard,1.2,4.5,1
Musetti L.,18,143,79,64,Polmans M.,165,19,5,14,2021-09-21,Nur-Sultan,Astana Open,Hard,1.36,3.2,1
Millman J.,140,256,113,143,Popko D.,188,2,0,2,2021-09-21,Nur-Sultan,Astana Open,Hard,1.44,2.75,1
Gerasimov E.,150,93,43,50,Paire B.,149,527,237,290,2021-09-21,Nur-Sultan,Astana Open,Hard,1.8,2.0,1
Struff J.L.,21,369,170,199,Ymer M.,59,130,58,72,2021-09-21,Metz,Open de Moselle,Hard,1.66,2.2,0
Humbert U.,36,170,80,90,Murray A.,44,932,687,245,2021-09-21,Metz,Open de Moselle,Hard,1.61,2.3,0
Simon G.,188,869,491,378,Davidovich Fokina A.,39,168,84,84,2021-09-21,Metz,Open de Moselle,Hard,3.4,1.33,0
Zapata Miralles B.,54,80,32,48,Rune H.,6,131,83,48,2021-09-21,Metz,Open de Moselle,Hard,2.37,1.57,0
Muller A.,81,22,9,13,Khachanov K.,11,378,217,161,2021-09-21,Metz,Open de Moselle,Hard,5.0,1.16,0
Kohlschreiber P.,132,812,446,366,Cecchinato M.,108,204,79,125,2021-09-21,Metz,Open de Moselle,Hard,1.3,3.5,1
Giron M.,69,150,68,82,Rinderknech A.,67,96,46,50,2021-09-21,Metz,Open de Moselle,Hard,2.37,1.57,1
Kukushkin M.,221,352,141,211,Duckworth J.,123,143,55,88,2021-09-22,Nur-Sultan,Astana Open,Hard,3.0,1.4,0
Bonzi B.,107,83,37,46,Ruusuvuori E.,55,158,79,79,2021-09-22,Nur-Sultan,Astana Open,Hard,2.2,1.66,0
Kwon S.W.,68,108,53,55,Donskoy E.,149,162,50,112,2021-09-22,Nur-Sultan,Astana Open,Hard,1.61,2.3,1
Djere L.,38,243,120,123,Musetti L.,18,143,79,64,2021-09-22,Nur-Sultan,Astana Open,Hard,2.1,1.72,1
Skatov T.,147,5,1,4,Ivashka I.,113,159,78,81,2021-09-22,Nur-Sultan,Astana Open,Hard,8.0,1.08,0
Berankis R.,212,249,104,145,Taberner C.,181,37,13,24,2021-09-22,Nur-Sultan,Astana Open,Hard,1.57,2.37,0
Gojowczyk P.,108,172,75,97,Hoang A.,155,19,6,13,2021-09-22,Metz,Open de Moselle,Hard,1.44,2.75,1
Munar J.,104,178,75,103,Millman J.,140,256,113,143,2021-09-22,Nur-Sultan,Astana Open,Hard,2.1,1.72,0
Pouille L.,675,259,134,125,Schnur B.,233,19,4,15,2021-09-22,Metz,Open de Moselle,Hard,1.36,3.2,1
Sonego L.,43,221,107,114,Rune H.,6,131,83,48,2021-09-22,Metz,Open de Moselle,Hard,1.53,2.5,0
Murray A.,44,932,687,245,Pospisil V.,99,280,122,158,2021-09-22,Metz,Open de Moselle,Hard,1.61,2.3,1
Carreno Busta P.,16,352,214,138,Ymer M.,59,130,58,72,2021-09-22,Metz,Open de Moselle,Hard,1.44,2.75,1
Krajinovic F.,93,240,115,125,Duckworth J.,123,143,55,88,2021-09-23,Nur-Sultan,Astana Open,Hard,1.66,2.2,0
De Minaur A.,19,272,161,111,Giron M.,69,150,68,82,2021-09-23,Metz,Open de Moselle,Hard,1.57,2.37,0
Gojowczyk P.,108,172,75,97,Khachanov K.,11,378,217,161,2021-09-23,Metz,Open de Moselle,Hard,3.2,1.36,1
Hurkacz H.,17,238,137,101,Pouille L.,675,259,134,125,2021-09-23,Metz,Open de Moselle,Hard,1.36,3.2,1
Monfils G.,323,816,510,306,Kohlschreiber P.,132,812,446,366,2021-09-23,Metz,Open de Moselle,Hard,1.36,3.2,1
Basilashvili N.,118,301,138,163,Davidovich Fokina A.,39,168,84,84,2021-09-23,Metz,Open de Moselle,Hard,1.61,2.3,1
Kecmanovic M.,40,210,107,103,Bublik A.,25,219,110,109,2021-09-23,Nur-Sultan,Astana Open,Hard,2.2,1.66,0
Karatsev A.,75,136,66,70,Ruusuvuori E.,55,158,79,79,2021-09-23,Nur-Sultan,Astana Open,Hard,1.9,1.9,0
Gerasimov E.,150,93,43,50,Taberner C.,181,37,13,24,2021-09-23,Nur-Sultan,Astana Open,Hard,1.61,2.3,0
Kwon S.W.,68,108,53,55,Lajovic D.,66,378,163,215,2021-09-23,Nur-Sultan,Astana Open,Hard,1.5,2.62,1
Kwon S.W.,68,108,53,55,Djere L.,38,243,120,123,2021-09-24,Nur-Sultan,Astana Open,Hard,1.44,2.75,1
Duckworth J.,123,143,55,88,Millman J.,140,256,113,143,2021-09-24,Nur-Sultan,Astana Open,Hard,1.72,2.1,1
Ruusuvuori E.,55,158,79,79,Ivashka I.,113,159,78,81,2021-09-24,Nur-Sultan,Astana Open,Hard,2.75,1.44,0
Bublik A.,25,219,110,109,Taberner C.,181,37,13,24,2021-09-24,Nur-Sultan,Astana Open,Hard,1.28,3.75,1
Rune H.,6,131,83,48,Carreno Busta P.,16,352,214,138,2021-09-24,Metz,Open de Moselle,Hard,2.62,1.5,0
Basilashvili N.,118,301,138,163,Monfils G.,323,816,510,306,2021-09-24,Metz,Open de Moselle,Hard,2.62,1.5,0
Murray A.,44,932,687,245,Hurkacz H.,17,238,137,101,2021-09-24,Metz,Open de Moselle,Hard,2.2,1.66,0
Gojowczyk P.,108,172,75,97,Giron M.,69,150,68,82,2021-09-24,Metz,Open de Moselle,Hard,1.8,2.0,1
Monfils G.,323,816,510,306,Carreno Busta P.,16,352,214,138,2021-09-25,Metz,Open de Moselle,Hard,2.0,1.8,0
Gojowczyk P.,108,172,75,97,Hurkacz H.,17,238,137,101,2021-09-25,Metz,Open de Moselle,Hard,3.2,1.36,0
Bublik A.,25,219,110,109,Kwon S.W.,68,108,53,55,2021-09-25,Nur-Sultan,Astana Open,Hard,1.44,2.75,0
Duckworth J.,123,143,55,88,Ivashka I.,113,159,78,81,2021-09-25,Nur-Sultan,Astana Open,Hard,3.5,1.3,1
Duckworth J.,123,143,55,88,Kwon S.W.,68,108,53,55,2021-09-26,Nur-Sultan,Astana Open,Hard,1.8,2.0,0
Hurkacz H.,17,238,137,101,Carreno Busta P.,16,352,214,138,2021-09-26,Metz,Open de Moselle,Hard,1.9,1.9,1
Karatsev A.,75,136,66,70,Delbonis F.,131,340,152,188,2021-09-27,San Diego,San Diego Open,Hard,1.25,4.0,1
Andreev A.,319,8,2,6,Kecmanovic M.,40,210,107,103,2021-09-27,Sofia,Sofia Open,Hard,6.0,1.12,0
Mannarino A.,27,567,264,303,Mager G.,67,59,24,35,2021-09-27,Sofia,Sofia Open,Hard,1.5,2.62,0
Paire B.,149,527,237,290,Davidovich Fokina A.,39,168,84,84,2021-09-27,Sofia,Sofia Open,Hard,2.75,1.44,1
Kuzmanov D.,207,12,4,8,Musetti L.,18,143,79,64,2021-09-28,Sofia,Sofia Open,Hard,3.75,1.28,1
Millman J.,140,256,113,143,Ymer M.,59,130,58,72,2021-09-28,Sofia,Sofia Open,Hard,2.3,1.61,1
Giron M.,69,150,68,82,Munar J.,104,178,75,103,2021-09-28,Sofia,Sofia Open,Hard,1.4,3.0,1
Martinez P.,135,118,50,68,Djere L.,38,243,120,123,2021-09-28,Sofia,Sofia Open,Hard,1.61,2.3,0
Pospisil V.,99,280,122,158,Gerasimov E.,150,93,43,50,2021-09-28,Sofia,Sofia Open,Hard,1.72,2.1,0
Korda S.,26,126,75,51,Paul T.,14,204,111,93,2021-09-28,San Diego,San Diego Open,Hard,1.53,2.5,1
Fucsovics M.,67,249,121,128,Dimitrov G.,20,651,389,262,2021-09-28,San Diego,San Diego Open,Hard,1.8,2.0,0
Koepfer D.,84,86,38,48,Norrie C.,13,287,172,115,2021-09-28,San Diego,San Diego Open,Hard,2.5,1.53,0
Sonego L.,43,221,107,114,Basilashvili N.,118,301,138,163,2021-09-28,San Diego,San Diego Open,Hard,1.8,2.0,1
Fritz T.,9,356,205,151,Caruso S.,146,63,19,44,2021-09-28,San Diego,San Diego Open,Hard,1.14,5.5,1
Nakashima B.,70,106,57,49,Fognini F.,128,742,383,359,2021-09-28,San Diego,San Diego Open,Hard,1.53,2.5,1
Ruusuvuori E.,55,158,79,79,Duckworth J.,123,143,55,88,2021-09-29,Sofia,Sofia Open,Hard,1.53,2.5,0
Andujar P.,323,404,164,240,Ivashka I.,113,159,78,81,2021-09-29,Sofia,Sofia Open,Hard,5.5,1.14,0
Marchenko I.,164,131,50,81,Seppi A.,141,758,363,395,2021-09-29,Sofia,Sofia Open,Hard,2.1,1.72,1
Majchrzak K.,121,50,19,31,Kuzmanov D.,207,12,4,8,2021-09-29,Sofia,Sofia Open,Hard,1.3,3.5,1
Mager G.,67,59,24,35,Kecmanovic M.,40,210,107,103,2021-09-29,Sofia,Sofia Open,Hard,2.75,1.44,1
Harris L.,186,129,59,70,Eubanks C.,29,64,28,36,2021-09-29,San Diego,San Diego Open,Hard,1.22,4.33,1
Murray A.,44,932,687,245,Kudla D.,137,198,70,128,2021-09-29,San Diego,San Diego Open,Hard,1.36,3.2,1
Gaio F.,174,18,3,15,Schwartzman D.,95,428,233,195,2021-09-29,San Diego,San Diego Open,Hard,5.0,1.16,0
Anderson K.,652,598,347,251,Evans D.,30,251,124,127,2021-09-29,San Diego,San Diego Open,Hard,1.9,1.9,0
Hurkacz H.,17,238,137,101,Bolt A.,345,40,13,27,2021-09-29,San Diego,San Diego Open,Hard,1.22,4.33,1
Lazarov A.,301,6,1,5,Krajinovic F.,93,240,115,125,2021-09-29,Sofia,Sofia Open,Hard,8.0,1.08,0
Sinner J.,8,224,153,71,Gerasimov E.,150,93,43,50,2021-09-30,Sofia,Sofia Open,Hard,1.2,4.5,1
Nakashima B.,70,106,57,49,Rublev A.,7,392,255,137,2021-09-30,San Diego,San Diego Open,Hard,3.5,1.3,0
Schwartzman D.,95,428,233,195,Harris L.,186,129,59,70,2021-09-30,San Diego,San Diego Open,Hard,1.9,1.9,1
Karatsev A.,75,136,66,70,Hurkacz H.,17,238,137,101,2021-09-30,San Diego,San Diego Open,Hard,2.75,1.44,1
Shapovalov D.,29,298,166,132,Fritz T.,9,356,205,151,2021-09-30,San Diego,San Diego Open,Hard,1.61,2.3,1
Korda S.,26,126,75,51,Sonego L.,43,221,107,114,2021-09-30,San Diego,San Diego Open,Hard,1.61,2.3,0
Millman J.,140,256,113,143,Marchenko I.,164,131,50,81,2021-09-30,Sofia,Sofia Open,Hard,1.57,2.37,1
Giron M.,69,150,68,82,De Minaur A.,19,272,161,111,2021-09-30,Sofia,Sofia Open,Hard,2.37,1.57,1
Duckworth J.,123,143,55,88,Paire B.,149,527,237,290,2021-09-30,Sofia,Sofia Open,Hard,1.8,2.0,1
Djere L.,38,243,120,123,Krajinovic F.,93,240,115,125,2021-09-30,Sofia,Sofia Open,Hard,2.62,1.5,0
Ivashka I.,113,159,78,81,Monfils G.,323,816,510,306,2021-09-30,Sofia,Sofia Open,Hard,1.72,2.1,0
Evans D.,30,251,124,127,Norrie C.,13,287,172,115,2021-09-30,San Diego,San Diego Open,Hard,2.37,1.57,0
Mager G.,67,59,24,35,Monfils G.,323,816,510,306,2021-10-01,Sofia,Sofia Open,Hard,3.4,1.33,0
Millman J.,140,256,113,143,Giron M.,69,150,68,82,2021-10-01,Sofia,Sofia Open,Hard,2.37,1.57,0
Shapovalov D.,29,298,166,132,Norrie C.,13,287,172,115,2021-10-01,San Diego,San Diego Open,Hard,1.8,2.0,0
Rublev A.,7,392,255,137,Schwartzman D.,95,428,233,195,2021-10-01,San Diego,San Diego Open,Hard,1.3,3.5,1
Duckworth J.,123,143,55,88,Sinner J.,8,224,153,71,2021-10-01,Sofia,Sofia Open,Hard,3.5,1.3,0
Dimitrov G.,20,651,389,262,Holmgren A.,901,1,0,1,2021-10-01,San Diego,San Diego Open,Hard,1.1,7.0,1
Murray A.,44,932,687,245,Ruud C.,4,275,176,99,2021-10-01,San Diego,San Diego Open,Hard,2.1,1.72,0
Majchrzak K.,121,50,19,31,Krajinovic F.,93,240,115,125,2021-10-01,Sofia,Sofia Open,Hard,2.62,1.5,0
Krajinovic F.,93,240,115,125,Sinner J.,8,224,153,71,2021-10-02,Sofia,Sofia Open,Hard,3.0,1.4,0
Rublev A.,7,392,255,137,Norrie C.,13,287,172,115,2021-10-02,San Diego,San Diego Open,Hard,1.33,3.4,0
Karatsev A.,75,136,66,70,Dimitrov G.,20,651,389,262,2021-10-02,San Diego,San Diego Open,Hard,1.66,2.2,0
Sonego L.,43,221,107,114,Ruud C.,4,275,176,99,2021-10-02,San Diego,San Diego Open,Hard,2.5,1.53,0
Giron M.,69,150,68,82,Monfils G.,323,816,510,306,2021-10-02,Sofia,Sofia Open,Hard,2.75,1.44,0
Sinner J.,8,224,153,71,Monfils G.,323,816,510,306,2021-10-03,Sofia,Sofia Open,Hard,1.57,2.37,1
Dimitrov G.,20,651,389,262,Ruud C.,4,275,176,99,2021-10-03,San Diego,San Diego Open,Hard,2.75,1.44,0
Ruud C.,4,275,176,99,Norrie C.,13,287,172,115,2021-10-04,San Diego,San Diego Open,Hard,1.9,1.9,1
Nishikori K.,439,617,408,209,Sousa J.,147,436,189,247,2021-10-07,Indian Wells,BNP Paribas Open,Hard,1.14,5.5,1
Djere L.,38,243,120,123,Cressy M.,96,96,42,54,2021-10-07,Indian Wells,BNP Paribas Open,Hard,1.9,1.9,0
Van De Zandschulp B.,44,117,63,54,Giron M.,69,150,68,82,2021-10-07,Indian Wells,BNP Paribas Open,Hard,1.8,2.0,0
Kwon S.W.,68,108,53,55,Pella G.,199,260,118,142,2021-10-07,Indian Wells,BNP Paribas Open,Hard,1.5,2.62,0
Mcdonald M.,60,190,87,103,Duckworth J.,123,143,55,88,2021-10-07,Indian Wells,BNP Paribas Open,Hard,1.9,1.9,1
Monteiro T.,121,171,69,102,Sandgren T.,153,121,47,74,2021-10-07,Indian Wells,BNP Paribas Open,Hard,2.0,1.8,0
Kohlschreiber P.,132,812,446,366,Daniel T.,111,178,67,111,2021-10-07,Indian Wells,BNP Paribas Open,Hard,1.36,3.2,0
Taberner C.,181,37,13,24,Munar J.,104,178,75,103,2021-10-07,Indian Wells,BNP Paribas Open,Hard,2.2,1.66,1
Altmaier D.,51,79,28,51,Querrey S.,287,678,369,309,2021-10-07,Indian Wells,BNP Paribas Open,Hard,2.2,1.66,1
Popyrin A.,90,140,59,81,Kecmanovic M.,40,210,107,103,2021-10-07,Indian Wells,BNP Paribas Open,Hard,1.8,2.0,1
Paul T.,14,204,111,93,Lopez F.,634,863,441,422,2021-10-07,Indian Wells,BNP Paribas Open,Hard,1.25,4.0,1
Rune H.,6,131,83,48,Escobedo E.,377,57,20,37,2021-10-08,Indian Wells,BNP Paribas Open,Hard,1.44,2.75,0
Bagnis F.,135,121,39,82,Gomez E.,155,26,7,19,2021-10-08,Indian Wells,BNP Paribas Open,Hard,2.3,1.61,0
Ilkel C.,382,17,1,16,Brooksby J.,39,79,46,33,2021-10-08,Indian Wells,BNP Paribas Open,Hard,5.5,1.14,0
Ramos-Vinolas A.,82,437,204,233,Musetti L.,18,143,79,64,2021-10-08,Indian Wells,BNP Paribas Open,Hard,2.0,1.8,1
Galan D.E.,76,78,33,45,Struff J.L.,21,369,170,199,2021-10-08,Indian Wells,BNP Paribas Open,Hard,3.0,1.4,0
Thompson J.,71,221,96,125,Anderson K.,652,598,347,251,2021-10-08,Indian Wells,BNP Paribas Open,Hard,2.37,1.57,0
Tabilo A.,122,44,21,23,Kudla D.,137,198,70,128,2021-10-08,Indian Wells,BNP Paribas Open,Hard,2.3,1.61,1
Wolf J.J.,45,75,39,36,Pospisil V.,99,280,122,158,2021-10-08,Indian Wells,BNP Paribas Open,Hard,2.1,1.72,0
Koepfer D.,84,86,38,48,Ruusuvuori E.,55,158,79,79,2021-10-08,Indian Wells,BNP Paribas Open,Hard,2.75,1.44,0
