player1_name,player1_atprank,player1_games,player1_wins,player1_loses,player2_name,player2_atprank,player2_games,player2_wins,player2_loses,match_date,match_location,match_tournament,match_surface,match_odd_player1,match_odd_player2,winner_player1
Isner J.,114,755,465,290,Korda S.,26,126,75,51,2021-01-11,Delray Beach,Delray Beach Open,Hard,1.72,2.1,0
Goffin D.,123,522,296,226,Travaglia S.,1024,81,27,54,2021-01-11,Antalya,Antalya Open,Hard,1.33,3.4,1
Basilashvili N.,118,301,138,163,De Minaur A.,19,272,161,111,2021-01-11,Antalya,Antalya Open,Hard,6.5,1.11,0
Berrettini M.,38,217,142,75,Bublik A.,25,219,110,109,2021-01-11,Antalya,Antalya Open,Hard,1.25,4.0,0
Chardy J.,542,591,289,302,Struff J.L.,21,369,170,199,2021-01-11,Antalya,Antalya Open,Hard,2.62,1.5,1
Chardy J.,542,591,289,302,Bublik A.,25,219,110,109,2021-01-12,Antalya,Antalya Open,Hard,3.0,1.4,0
De Minaur A.,19,272,161,111,Goffin D.,123,522,296,226,2021-01-12,Antalya,Antalya Open,Hard,1.53,2.5,1
Tiafoe F.,10,303,158,145,Norrie C.,13,287,172,115,2021-01-12,Delray Beach,Delray Beach Open,Hard,1.72,2.1,0
Harrison C.,251,15,6,9,Hurkacz H.,17,238,137,101,2021-01-12,Delray Beach,Delray Beach Open,Hard,3.2,1.36,0
Korda S.,26,126,75,51,Norrie C.,13,287,172,115,2021-01-13,Delray Beach,Delray Beach Open,Hard,1.66,2.2,1
Hurkacz H.,17,238,137,101,Korda S.,26,126,75,51,2021-01-13,Delray Beach,Delray Beach Open,Hard,1.8,2.0,1
De Minaur A.,19,272,161,111,Bublik A.,25,219,110,109,2021-01-13,Antalya,Antalya Open,Hard,1.2,4.5,1
Vukic A.,62,36,15,21,Lu Y.,625,11,1,10,2021-01-31,Melbourne,Great Ocean Road Open,Hard,1.16,5.0,1
Majchrzak K.,121,50,19,31,Djere L.,38,243,120,123,2021-01-31,Melbourne,Great Ocean Road Open,Hard,1.4,2.75,1
Uchiyama Y.,314,33,9,24,Bedene A.,347,291,131,160,2021-01-31,Melbourne,Great Ocean Road Open,Hard,2.75,1.4,0
Bourchier H.,324,2,1,1,Polmans M.,165,19,5,14,2021-02-01,Melbourne,Murray River Open,Hard,2.62,1.44,1
Chardy J.,542,591,289,302,Cilic M.,100,853,543,310,2021-02-01,Melbourne,Murray River Open,Hard,2.1,1.66,1
Berankis R.,212,249,104,145,Nagal S.,503,17,3,14,2021-02-01,Melbourne,Murray River Open,Hard,1.28,3.5,1
Bolt A.,345,40,13,27,Kokkinakis T.,86,124,55,69,2021-02-01,Melbourne,Murray River Open,Hard,3.25,1.33,1
Tiafoe F.,10,303,158,145,Moutet C.,80,118,50,68,2021-02-01,Melbourne,Murray River Open,Hard,1.36,3.0,0
Tu L.,252,5,1,4,Sousa P.,475,36,9,27,2021-02-01,Melbourne,Murray River Open,Hard,1.4,2.75,0
Ymer M.,59,130,58,72,Mannarino A.,27,567,264,303,2021-02-01,Melbourne,Murray River Open,Hard,2.75,1.4,0
Mcdonald M.,60,190,87,103,Gasquet R.,48,948,581,367,2021-02-01,Melbourne,Murray River Open,Hard,2.62,1.44,1
Coria F.,108,99,43,56,Albot R.,97,215,86,129,2021-02-01,Melbourne,Murray River Open,Hard,3.5,1.28,1
Sonego L.,43,221,107,114,Kubler J.,77,53,24,29,2021-02-01,Melbourne,Murray River Open,Hard,1.36,3.0,0
Cecchinato M.,108,204,79,125,Fucsovics M.,67,249,121,128,2021-02-01,Melbourne,Murray River Open,Hard,5.5,1.14,0
Harris L.,186,129,59,70,Gerasimov E.,150,93,43,50,2021-02-01,Melbourne,Murray River Open,Hard,1.9,1.8,0
Paul T.,14,204,111,93,Norrie C.,13,287,172,115,2021-02-01,Melbourne,Murray River Open,Hard,1.57,2.25,1
Ramos-Vinolas A.,82,437,204,233,Mott B.,481,2,0,2,2021-02-01,Melbourne,Murray River Open,Hard,1.36,3.0,1
O Connell C.,74,65,26,39,Koepfer D.,84,86,38,48,2021-02-01,Melbourne,Great Ocean Road Open,Hard,2.25,1.57,1
Gombos N.,114,66,21,45,Purcell M.,78,28,9,19,2021-02-01,Melbourne,Great Ocean Road Open,Hard,1.44,2.62,0
Martin A.,723,258,107,151,Kwon S.W.,68,108,53,55,2021-02-01,Melbourne,Great Ocean Road Open,Hard,3.75,1.25,0
Travaglia S.,1024,81,27,54,Carballes Baena R.,64,207,91,116,2021-02-01,Melbourne,Great Ocean Road Open,Hard,1.36,3.0,1
Anderson K.,652,598,347,251,Lopez F.,634,863,441,422,2021-02-01,Melbourne,Great Ocean Road Open,Hard,1.44,2.62,1
Seppi A.,141,758,363,395,Caruso S.,146,63,19,44,2021-02-01,Melbourne,Great Ocean Road Open,Hard,2.0,1.72,0
Torpegaard M.,188,4,1,3,Martinez P.,135,118,50,68,2021-02-02,Melbourne,Great Ocean Road Open,Hard,2.25,1.57,1
Daniel T.,111,178,67,111,Harris A.,232,3,1,2,2021-02-02,Melbourne,Murray River Open,Hard,1.33,3.25,0
Kyrgios N.,25,303,195,108,Muller A.,81,22,9,13,2021-02-02,Melbourne,Murray River Open,Hard,1.11,6.5,1
Ferreira Silva F.,185,2,0,2,Vesely J.,528,288,130,158,2021-02-02,Melbourne,Murray River Open,Hard,2.62,1.44,0
Halys Q.,79,72,23,49,Sugita Y.,131,129,47,82,2021-02-02,Melbourne,Murray River Open,Hard,1.57,2.25,0
Gojo B.,115,14,3,11,Popyrin A.,90,140,59,81,2021-02-02,Melbourne,Murray River Open,Hard,2.2,1.61,0
Kukushkin M.,221,352,141,211,Londero J.I.,142,83,34,49,2021-02-02,Melbourne,Murray River Open,Hard,1.44,2.62,1
Machac T.,108,18,6,12,Duckworth J.,123,143,55,88,2021-02-02,Melbourne,Murray River Open,Hard,1.53,2.37,0
Balazs A.,745,33,16,17,Alcaraz C.,1,164,130,34,2021-02-02,Melbourne,Great Ocean Road Open,Hard,4.0,1.22,0
Mager G.,67,59,24,35,Thompson J.,71,221,96,125,2021-02-02,Melbourne,Great Ocean Road Open,Hard,2.75,1.4,0
Ymer E.,186,81,24,57,Simon G.,188,869,491,378,2021-02-02,Melbourne,Murray River Open,Hard,3.0,1.36,0
Nam J.S.,590,3,0,3,Sweeny D.,797,2,1,1,2021-02-02,Melbourne,Great Ocean Road Open,Hard,1.57,2.25,0
Cuevas P.,149,421,210,211,Andujar P.,323,404,164,240,2021-02-02,Melbourne,Great Ocean Road Open,Hard,2.1,1.66,1
Herbert P.H.,157,202,89,113,Cressy M.,96,96,42,54,2021-02-02,Melbourne,Great Ocean Road Open,Hard,1.44,2.62,1
Smith J.P.,306,27,5,22,Sandgren T.,153,121,47,74,2021-02-02,Melbourne,Great Ocean Road Open,Hard,2.37,1.53,0
Mmoh M.,112,55,20,35,Giron M.,69,150,68,82,2021-02-02,Melbourne,Murray River Open,Hard,1.66,2.1,0
Querrey S.,287,678,369,309,Laaksonen H.,125,101,37,64,2021-02-02,Melbourne,Great Ocean Road Open,Hard,1.5,2.5,1
Troicki V.,230,525,269,256,Ruusuvuori E.,55,158,79,79,2021-02-02,Melbourne,Murray River Open,Hard,3.5,1.28,0
Gerasimov E.,150,93,43,50,Fucsovics M.,67,249,121,128,2021-02-02,Melbourne,Murray River Open,Hard,2.5,1.5,1
Giron M.,69,150,68,82,Mannarino A.,27,567,264,303,2021-02-02,Melbourne,Murray River Open,Hard,2.1,1.66,1
Sousa P.,475,36,9,27,Evans D.,30,251,124,127,2021-02-02,Melbourne,Murray River Open,Hard,5.5,1.14,0
Delbonis F.,131,340,152,188,Ebden M.,432,203,75,128,2021-02-02,Melbourne,Great Ocean Road Open,Hard,,,0
Vilella Martinez M.,167,10,4,6,Hanfmann Y.,50,99,50,49,2021-02-02,Melbourne,Great Ocean Road Open,Hard,2.37,1.53,1
Dellien H.,164,70,22,48,Stebe C.M.,231,76,28,48,2021-02-02,Melbourne,Great Ocean Road Open,Hard,4.33,1.2,0
Stakhovsky S.,200,339,145,194,Safiullin R.,92,42,20,22,2021-02-02,Melbourne,Great Ocean Road Open,Hard,3.0,1.36,1
Haase R.,257,458,202,256,Coppejans K.,188,11,0,11,2021-02-02,Melbourne,Great Ocean Road Open,Hard,1.57,2.25,1
Fancutt T.,562,1,0,1,Monteiro T.,121,171,69,102,2021-02-02,Melbourne,Great Ocean Road Open,Hard,5.5,1.14,0
Van De Zandschulp B.,44,117,63,54,Schoolkate T.,844,1,0,1,2021-02-02,Melbourne,Great Ocean Road Open,Hard,1.33,3.25,1
Kubler J.,77,53,24,29,Berankis R.,212,249,104,145,2021-02-02,Melbourne,Murray River Open,Hard,2.62,1.44,0
Moutet C.,80,118,50,68,Ramos-Vinolas A.,82,437,204,233,2021-02-03,Melbourne,Murray River Open,Hard,1.44,2.62,1
Harris A.,232,3,1,2,Dimitrov G.,20,651,389,262,2021-02-03,Melbourne,Murray River Open,Hard,5.5,1.14,0
Sugita Y.,131,129,47,82,Auger-Aliassime F.,12,268,163,105,2021-02-03,Melbourne,Murray River Open,Hard,5.0,1.16,0
Kyrgios N.,25,303,195,108,Bourchier H.,324,2,1,1,2021-02-03,Melbourne,Murray River Open,Hard,1.12,6.0,1
Coric B.,15,343,185,158,Ruusuvuori E.,55,158,79,79,2021-02-03,Melbourne,Murray River Open,Hard,1.66,2.1,1
Simon G.,188,869,491,378,Chardy J.,542,591,289,302,2021-02-03,Melbourne,Murray River Open,Hard,1.83,1.83,0
Duckworth J.,123,143,55,88,Humbert U.,36,170,80,90,2021-02-03,Melbourne,Murray River Open,Hard,3.25,1.33,1
Wawrinka S.,72,854,535,319,Kukushkin M.,221,352,141,211,2021-02-03,Melbourne,Murray River Open,Hard,1.3,3.4,1
Paul T.,14,204,111,93,Popyrin A.,90,140,59,81,2021-02-03,Melbourne,Murray River Open,Hard,1.4,2.75,0
Bolt A.,345,40,13,27,Mcdonald M.,60,190,87,103,2021-02-03,Melbourne,Murray River Open,Hard,3.0,1.36,1
Fritz T.,9,356,205,151,Coria F.,108,99,43,56,2021-02-03,Melbourne,Murray River Open,Hard,1.14,5.5,1
Vesely J.,528,288,130,158,Ruud C.,4,275,176,99,2021-02-03,Melbourne,Murray River Open,Hard,2.0,1.72,1
Stebe C.M.,231,76,28,48,Anderson K.,652,598,347,251,2021-02-03,Melbourne,Great Ocean Road Open,Hard,4.33,1.2,0
Van De Zandschulp B.,44,117,63,54,Majchrzak K.,121,50,19,31,2021-02-03,Melbourne,Great Ocean Road Open,Hard,2.0,1.72,1
Bedene A.,347,291,131,160,Sweeny D.,797,2,1,1,2021-02-03,Melbourne,Great Ocean Road Open,Hard,1.14,5.5,1
Torpegaard M.,188,4,1,3,Hurkacz H.,17,238,137,101,2021-02-03,Melbourne,Great Ocean Road Open,Hard,4.0,1.22,0
Kecmanovic M.,40,210,107,103,Kwon S.W.,68,108,53,55,2021-02-03,Melbourne,Great Ocean Road Open,Hard,1.53,2.37,1
Querrey S.,287,678,369,309,Travaglia S.,1024,81,27,54,2021-02-03,Melbourne,Great Ocean Road Open,Hard,1.66,2.1,0
Haase R.,257,458,202,256,Cuevas P.,149,421,210,211,2021-02-03,Melbourne,Great Ocean Road Open,Hard,1.61,2.2,0
Thompson J.,71,221,96,125,Herbert P.H.,157,202,89,113,2021-02-03,Melbourne,Great Ocean Road Open,Hard,1.57,2.25,1
Ebden M.,432,203,75,128,Monteiro T.,121,171,69,102,2021-02-03,Melbourne,Great Ocean Road Open,Hard,2.37,1.53,0
Opelka R.,17,168,88,80,Stakhovsky S.,200,339,145,194,2021-02-03,Melbourne,Great Ocean Road Open,Hard,1.33,3.25,1
Bublik A.,25,219,110,109,O Connell C.,74,65,26,39,2021-02-03,Melbourne,Great Ocean Road Open,Hard,1.5,2.5,1
Vilella Martinez M.,167,10,4,6,Basilashvili N.,118,301,138,163,2021-02-03,Melbourne,Great Ocean Road Open,Hard,2.25,1.57,1
Khachanov K.,11,378,217,161,Purcell M.,78,28,9,19,2021-02-03,Melbourne,Great Ocean Road Open,Hard,1.14,5.5,1
Goffin D.,123,522,296,226,Alcaraz C.,1,164,130,34,2021-02-03,Melbourne,Great Ocean Road Open,Hard,1.33,3.25,0
Caruso S.,146,63,19,44,Sandgren T.,153,121,47,74,2021-02-03,Melbourne,Great Ocean Road Open,Hard,1.8,1.9,1
Vukic A.,62,36,15,21,Sinner J.,8,224,153,71,2021-02-03,Melbourne,Great Ocean Road Open,Hard,5.5,1.14,0
Alcaraz C.,1,164,130,34,Monteiro T.,121,171,69,102,2021-02-04,Melbourne,Great Ocean Road Open,Hard,1.36,3.2,0
Anderson K.,652,598,347,251,Khachanov K.,11,378,217,161,2021-02-04,Melbourne,Great Ocean Road Open,Hard,1.61,2.3,0
Sinner J.,8,224,153,71,Bedene A.,347,291,131,160,2021-02-04,Melbourne,Great Ocean Road Open,Hard,1.25,4.0,1
