index,match_id,match_date,match_round_order,match_order,player1_name,player1_id,player1_weight,player1_height,player1_birthdate,player1_turned_pro,player1_atprank,player1_oddsB365,player1_oddsPS,player2_name,player2_id,player2_weight,player2_height,player2_birthdate,player2_turned_pro,player2_atprank,player2_oddsB365,player2_oddsPS,winner_player1,player1_plays,player1_wins,player1_losses,player1_age,player1_mean_serve_rating,player1_mean_atp_adversary,player1_elo,player2_plays,player2_wins,player2_losses,player2_age,player2_mean_serve_rating,player2_mean_atp_adversary,player2_elo,player1_c1,player1_c2,player1_c3,player1_c4,player1_c5,player2_c1,player2_c2,player2_c3,player2_c4,player2_c5
39282,2011-451-ms025-4-3-me89-z168,2011-01-03,5,14,Illya Marchenko,me89,87.0,185.0,1987-09-08,2006.0,81.0,1.61,1.79,Mischa Zverev,z168,88.0,191.0,1987-08-22,2005.0,82.0,2.2,2.13,1,45,21,24,23.32101300479124,248.7845238095238,89.65178571428572,-6450.0,128,56,72,23.367556468172484,260.54545454545456,80.40873015873015,-3000.0,0.0,0.0,6.0,317.0,17354.0,0.0,1.0,8.0,374.0,21537.0
39327,2011-891-ms031-4-15-n552-c977,2011-01-03,5,2,Kei Nishikori,n552,73.0,178.0,1989-12-29,2007.0,98.0,3.25,3.29,Marin Cilic,c977,89.0,198.0,1988-09-28,2005.0,14.0,1.33,1.37,1,48,23,25,21.01300479123888,248.55357142857144,71.07478260869564,-5700.0,210,133,77,22.26420260095825,264.44574898785424,65.93472317156528,21150.0,0.0,0.0,5.0,320.0,19490.0,0.0,1.0,10.0,562.0,35328.0
39331,2011-891-ms028-4-11-t742-se66,2011-01-03,5,6,Janko Tipsarevic,t742,80.0,180.0,1984-06-22,2002.0,49.0,1.14,1.2,Eduardo Schwank,se66,83.0,183.0,1986-04-23,2005.0,74.0,5.0,5.18,1,218,100,118,26.532511978097197,264.80840707964603,72.99364406779661,1230.0,75,29,46,24.698151950718685,258.6835897435897,89.89655172413794,-10800.0,0.0,0.0,21.0,994.0,63267.0,0.0,0.0,11.0,615.0,39126.0
39334,2011-891-ms017-4-8-d646-d339,2011-01-03,5,9,Ivan Dodig,d646,81.0,183.0,1985-01-02,2004.0,88.0,1.3,1.37,Marcos Daniel,d339,79.0,180.0,1978-07-04,1997.0,96.0,3.4,3.35,1,17,8,9,26.001368925393567,260.9583333333333,50.65972222222222,-150.0,74,18,56,32.50102669404517,256.51823529411763,80.86408730158729,-8580.0,0.0,0.0,2.0,140.0,8380.0,0.0,0.0,1.0,48.0,3119.0
39337,2011-891-ms018-4-5-k448-g512,2011-01-03,5,12,Robert Kendrick,k448,86.0,191.0,1979-11-15,2000.0,115.0,1.5,1.54,Denis Gremelmayr,g512,73.0,183.0,1981-08-16,2000.0,121.0,2.5,2.64,1,93,27,66,31.134839151266256,271.0633640552996,97.76683501683502,-9270.0,61,21,40,29.38261464750171,249.3794871794872,77.32142857142857,-3390.0,0.0,0.0,2.0,170.0,11897.0,0.0,0.0,3.0,251.0,16745.0
39339,2011-891-ms026-4-3-p436-ba98,2011-01-03,5,14,Bjorn Phau,p436,70.0,175.0,1979-10-04,1999.0,102.0,1.72,1.8,Simone Bolelli,ba98,83.0,183.0,1985-10-08,2003.0,107.0,2.0,2.11,1,151,60,91,31.249828884325805,248.12280701754383,128.91794871794872,-7830.0,123,49,74,25.23750855578371,271.68242790073776,65.96525096525096,-7800.0,0.0,0.0,6.0,524.0,34478.0,0.0,0.0,18.0,974.0,62354.0
39340,2011-891-ms025-4-2-r612-h804,2011-01-03,5,15,Stephane Robert,r612,77.0,185.0,1980-05-17,2001.0,122.0,2.5,2.54,Andreas Haider-Maurer,h804,89.0,191.0,1987-03-22,2005.0,119.0,1.5,1.57,1,33,12,21,30.63107460643395,244.25,103.27976190476193,-7530.0,9,5,4,23.786447638603697,273.575,125.125,1950.0,0.0,0.0,0.0,10.0,600.0,0.0,0.0,4.0,24.0,1276.0
39417,2011-338-qs018-1-9-f444-ma49,2011-01-04,8,8,Alejandro Falla,f444,77.0,185.0,1983-11-14,2000.0,105.0,1.44,1.51,Rui Machado,ma49,70.0,178.0,1984-04-10,2002.0,93.0,2.62,2.72,1,107,41,66,27.14031485284052,251.32689832689832,81.57224685883223,-10020.0,14,6,8,26.73511293634497,257.4875,77.35416666666666,120.0,0.0,0.0,2.0,95.0,6060.0,0.0,0.0,0.0,61.0,4229.0
39210,2011-339-ms016-4-16-sa49-h940,2011-01-04,5,1,Robin Soderling,sa49,87.0,193.0,1984-08-14,2001.0,5.0,1.06,1.08,Ryan Harrison,h940,84.0,185.0,1992-05-07,2007.0,173.0,8.0,9.94,1,361,224,137,26.390143737166323,272.13479645058595,52.15079184045881,42240.0,13,4,9,18.6611909650924,262.3888888888889,187.08333333333331,-3750.0,0.0,0.0,6.0,326.0,19452.0,0.0,0.0,1.0,59.0,3763.0
39212,2011-339-ms027-4-14-b896-v306,2011-01-04,5,3,Benjamin Becker,b896,72.0,178.0,1981-06-16,2005.0,53.0,3.0,3.31,Fernando Verdasco,v306,90.0,188.0,1983-11-15,2001.0,9.0,1.36,1.38,1,179,78,101,29.5523613963039,270.8466165413534,103.97677075399848,-3690.0,438,264,174,27.137577002053387,270.5195512820513,63.19879832810867,29160.0,0.0,1.0,17.0,1243.0,80205.0,0.0,1.0,38.0,2586.0,161867.0
