match_id,tourney_slug,match_stats_url_suffix,match_time,match_duration,winner_player_id,winner_serve_rating,winner_aces,winner_double_faults,winner_first_serves_in,winner_first_serves_total,winner_first_serve_points_won,winner_first_serve_points_total,winner_second_serve_points_won,winner_second_serve_points_total,winner_break_points_saved,winner_break_points_serve_total,winner_service_games_played,winner_return_rating,winner_first_serve_return_won,winner_first_serve_return_total,winner_second_serve_return_won,winner_second_serve_return_total,winner_break_points_converted,winner_break_points_return_total,winner_return_games_played,winner_service_points_won,winner_service_points_total,winner_return_points_won,winner_return_points_total,winner_total_points_won,winner_total_points_total,loser_player_id,loser_serve_rating,loser_aces,loser_double_faults,loser_first_serves_in,loser_first_serves_total,loser_first_serve_points_won,loser_first_serve_points_total,loser_second_serve_points_won,loser_second_serve_points_total,loser_break_points_saved,loser_break_points_serve_total,loser_service_games_played,loser_return_rating,loser_first_serve_return_won,loser_first_serve_return_total,loser_second_serve_return_won,loser_second_serve_return_total,loser_break_points_converted,loser_break_points_return_total,loser_return_games_played,loser_service_points_won,loser_service_points_total,loser_return_points_won,loser_return_points_total,loser_total_points_won,loser_total_points_total
2023-301-2023-2-2-l0bv-bf23,auckland,/en/scores/stats-centre/archive/2023/301/qs007,01:34:55,94,l0bv,274,6,3,45,70,33,45,13,25,2,4,12,223,12,44,14,17,5,7,12,46,70,26,61,72,131,bf23,222,5,3,44,61,32,44,3,17,2,7,12,141,12,45,12,25,2,4,12,35,61,24,70,59,131
2023-301-2023-2-1-e865-sh90,auckland,/en/scores/stats-centre/archive/2023/301/qs006,02:10:50,130,e865,324,19,3,68,94,54,68,19,26,3,4,17,127,19,69,11,28,3,7,17,73,94,30,97,103,191,sh90,289,7,0,69,97,50,69,17,28,4,7,17,78,14,68,7,26,1,4,17,67,97,21,94,88,191
2023-301-2023-1-8-mj08-ae14,auckland,/en/scores/stats-centre/archive/2023/301/qs008,02:49:18,169,mj08,291,8,3,64,101,52,64,19,37,4,5,16,99,13,64,20,42,1,4,17,71,101,33,106,104,207,ae14,291,15,1,64,106,51,64,22,42,3,4,17,94,12,64,18,37,1,5,16,73,106,30,101,103,207
2023-301-2023-1-7-ce77-v0dz,auckland,/en/scores/stats-centre/archive/2023/301/qs010,01:45:47,105,ce77,256,3,3,46,71,35,46,11,25,2,6,14,171,23,50,10,27,5,10,13,46,71,33,77,79,148,v0dz,244,2,1,50,77,27,50,17,27,5,10,13,175,11,46,14,25,4,6,14,44,77,25,71,69,148
2023-301-2023-1-6-e865-l987,auckland,/en/scores/stats-centre/archive/2023/301/qs012,01:20:02,80,e865,294,16,4,56,71,44,56,7,15,1,3,14,149,13,50,7,17,2,3,13,51,71,20,67,71,138,l987,293,3,1,50,67,37,50,10,17,1,3,13,156,12,56,8,15,2,3,14,47,67,20,71,67,138
2023-301-2023-1-5-l0bv-ch12,auckland,/en/scores/stats-centre/archive/2023/301/qs014,01:36:17,96,l0bv,308,10,2,48,69,39,48,13,21,2,3,13,193,19,51,16,26,5,9,13,52,69,35,77,87,146,ch12,229,1,2,51,77,32,51,10,26,4,9,13,98,9,48,8,21,1,3,13,42,77,17,69,59,146
2023-301-2023-1-4-sh90-r0cg,auckland,/en/scores/stats-centre/archive/2023/301/qs013,01:35:25,95,sh90,289,1,2,36,57,28,36,14,21,2,4,11,176,17,55,15,20,3,7,11,42,57,32,75,74,132,r0cg,245,14,4,55,75,38,55,5,20,4,7,11,124,8,36,7,21,2,4,11,43,75,15,57,58,132
2023-301-2023-1-3-bf23-t0ap,auckland,/en/scores/stats-centre/archive/2023/301/qs015,01:10:38,70,bf23,311,5,0,32,49,27,32,10,17,2,2,9,191,6,29,13,21,3,4,9,37,49,19,50,56,99,t0ap,242,2,3,29,50,23,29,8,21,1,4,9,57,5,32,7,17,0,2,9,31,50,12,49,43,99
2023-301-2023-1-2-bk24-li39,auckland,/en/scores/stats-centre/archive/2023/301/qs011,01:02:53,62,bk24,292,3,1,41,69,29,41,17,28,3,3,9,219,7,22,10,20,3,3,8,46,69,17,42,63,111,li39,234,3,2,22,42,15,22,10,20,0,3,8,69,12,41,11,28,0,3,9,25,42,23,69,48,111
2023-301-2023-1-1-r0dc-da81,auckland,/en/scores/stats-centre/archive/2023/301/qs009,02:13:49,133,r0dc,241,14,1,54,108,36,54,26,54,5,9,14,166,14,46,9,24,3,4,13,62,108,23,70,85,178,da81,277,6,0,46,70,32,46,15,24,1,4,13,158,18,54,28,54,4,9,14,47,70,46,108,93,178
2023-8998-2023-7-1-kf17-bd06,adelaide,/en/scores/stats-centre/archive/2023/8998/ms001,02:42:47,162,kf17,267,11,2,53,98,42,53,23,45,4,7,15,143,15,60,23,41,3,7,16,65,98,38,101,103,199,bd06,261,5,2,60,101,45,60,18,41,4,7,16,133,11,53,22,45,3,7,15,63,101,33,98,96,199
2023-8998-2023-6-2-bd06-kd46,adelaide,/en/scores/stats-centre/archive/2023/8998/ms002,02:34:37,154,bd06,289,7,1,70,107,52,70,20,37,11,12,15,151,7,46,9,31,1,1,15,72,107,16,77,88,184,kd46,315,20,1,46,77,39,46,22,31,0,1,15,87,18,70,17,37,1,12,15,61,77,35,107,96,184
2023-8998-2023-6-1-kf17-d0co,adelaide,/en/scores/stats-centre/archive/2023/8998/ms003,02:45:25,165,kf17,289,13,5,62,109,50,62,26,47,9,10,16,150,12,62,25,47,3,5,17,76,109,37,109,113,218,d0co,271,18,6,62,109,50,62,22,47,2,5,17,80,12,62,21,47,1,10,16,72,109,33,109,105,218
2023-8998-2023-5-4-d0co-ke29,adelaide,/en/scores/stats-centre/archive/2023/8998/ms006,01:45:00,105,d0co,293,10,3,44,68,35,44,13,24,1,2,11,136,12,48,16,27,2,6,11,48,68,28,75,76,143,ke29,264,8,3,48,75,36,48,11,27,4,6,11,125,9,44,11,24,1,2,11,47,75,20,68,67,143
2023-8998-2023-5-3-bd06-dh50,adelaide,/en/scores/stats-centre/archive/2023/8998/ms005,01:22:30,82,bd06,337,6,0,32,42,25,32,8,10,0,0,8,179,14,35,18,31,4,11,9,33,42,32,66,65,108,dh50,210,2,3,35,66,21,35,13,31,7,11,9,42,7,32,2,10,0,0,8,34,66,9,42,43,108
2023-8998-2023-5-2-kd46-ki95,adelaide,/en/scores/stats-centre/archive/2023/8998/ms004,02:10:22,130,kd46,323,22,3,56,84,48,56,18,28,2,2,15,132,14,56,20,37,3,10,13,66,84,34,93,100,177,ki95,258,3,3,56,93,42,56,17,37,7,10,13,50,8,56,10,28,0,2,15,59,93,18,84,77,177
2023-8998-2023-5-1-kf17-y268,adelaide,/en/scores/stats-centre/archive/2023/8998/ms007,01:00:56,60,kf17,278,5,2,27,46,20,27,11,19,4,5,7,304,22,32,6,8,6,7,8,31,46,28,40,59,86,y268,160,1,3,32,40,10,32,2,8,1,7,8,102,7,27,8,19,1,5,7,12,40,15,46,27,86
2023-8998-2023-4-8-kd46-re44,adelaide,/en/scores/stats-centre/archive/2023/8998/ms008,01:57:26,117,kd46,309,17,1,44,70,38,44,16,26,0,1,14,135,13,55,20,35,2,5,14,54,70,33,90,87,160,re44,268,10,4,55,90,42,55,15,35,3,5,14,159,6,44,10,26,1,1,14,57,90,16,70,73,160
2023-8998-2023-4-7-kf17-cd85,adelaide,/en/scores/stats-centre/archive/2023/8998/ms015,02:20:06,140,kf17,282,11,3,57,88,44,57,16,31,5,7,14,143,21,65,20,42,3,7,15,60,88,41,107,101,195,cd85,262,10,6,65,107,44,65,22,42,4,7,15,114,13,57,15,31,2,7,14,66,107,28,88,94,195
2023-8998-2023-4-6-ke29-hh06,adelaide,/en/scores/stats-centre/archive/2023/8998/ms013,01:19:55,79,ke29,298,5,1,35,54,29,35,11,19,1,2,10,161,9,34,12,22,3,6,10,40,54,21,56,61,110,hh06,250,2,2,34,56,25,34,10,22,3,6,10,119,6,35,8,19,1,2,10,35,56,14,54,49,110
